#separator:tab
#html:true
#tags column:10
1	There are three taps of diameter 2 cm, 3 cm and 4 cm, respectively. The ratio of the water flowing through them is equal to the ratio of the square of their diameters. The biggest tap can fill an empty tank alone in 81 min. If all the taps are opened simultaneously, then how long will the tank take (in min) to be filled?	\(34 \frac{20}{29}\)	\(64 \frac{20}{29}\)	\(54 \frac{20}{29}\)	\(44 \frac{20}{29}\)	4	<span>Given:</span><br><span>There are three taps of diameter 2 cm, 3 cm and 4 cm, respectively. The ratio of the water flowing through them is equal to the ratio of the square of their diameters.</span><br><span>The biggest tap can fill an empty tank alone in 81 min.</span><br><span>Concept used:</span><br>The capacity of the tank = Time taken to fill the tank by a particular tap(in min) × Amount of water flowing through the tap (per min)<br><span>Calculation:</span><br><span>According to the question,</span><br><span>The ratio of the water flowing through them</span><br><span>⇒ 2<sup>2</sup> : 3<sup>2</sup> : 4<sup>2</sup></span><br><span>⇒ 4 : 9 : 16</span><br><span>Let the quantity of the water flowing through taps be 4k, 9k, and 16k units per minute.</span><br><span>According to the concept,</span><br><span>The capacity of the tank = (81 × 16k) units</span><br><span>Now, the time taken to fill the tank when all the taps are opened simultaneously</span><br><span>⇒ (81 × 16k) ÷ (4 + 9 + 16)k</span><br><span>⇒ \(44 \frac{20}{29}\) min</span><br><strong><span>∴ It will take \(44 \frac{20}{29}\) min for the tank to be filled </span><span>when all the taps are opened simultaneously.</span></strong>		MATH::Pipe-And-Cistern CGL::Mains::019
2	Two numbers are, respectively, 10% and 25% more than the third number. The ratio of the two numbers is:	22 : 25	19 : 25	23 : 25	18 : 25	1	<strong>Given:</strong><br><span>Two numbers are, respectively, 10% and 25% more than the third number.</span><br><span><strong>Calculation:</strong></span><br>Let the third number = x<br>Thus, first number = 110% of x = \(110x\over100\) = \(11x\over10\)<br>Second number = 125% of x = \(​​125x\over100\) = \(5x\over4\)<br>So, the ratio of the two numbers = \(11x\over10\)∶ \(5x\over4\)<br>= 44x ∶ 50x<br>= 22 ∶ 25<br><strong>∴ The correct answer is option 1.</strong>		MATH::Ratio-And-Proportion CGL::Mains::019
3	A, B and C did certain investments and the ratio of their time periods is 3 : 2 : 7 respectively. Ratio of the profits of A, B and C is 4 : 3 : 14 respectively. What is the ratio of the investments of A, B and C ?	1 : 3 : 4	7 : 9 : 11	8 : 9 : 12	2 : 3 : 11	3	<span>Given:</span><br><span>A, B and C did certain investments and the ratio of their time periods is 3 : 2 : 7 respectively.</span><br><span>Ratio of the profits of A, B and C is 4 : 3 : 14 respectively.</span><br><span>Concept used:</span><br>1. The ratio of investment in partnership is calculated by multiplying the invested amount with the time for which it has been invested.<br>2. The ratio of sharing profit is equal to the ratio of the investment made by the partners.<br><span>Calculation:</span><br>Let the investment of A, B, and C be p, q, and r respectively.<br><span>According to the concept,</span><br><span>(p × 3) : (q × 2) : (r × 7) = 4 : 3 : 14</span><br><span>⇒ 3p : 2q : 7r = 4 : 3 : 14</span><br><span>Comparing both sides we get,</span><br><span>3p = 4 i.e. </span>p = 4/3<br>2q = 3 i.e. q = 3/2<br>7r = 14 i.e. r = 2<br>Now,<span> the ratio of the investments of A, B, and C</span><br><span>⇒ 4/3 : 3/2 : 2</span><br><span>⇒ 4/3 × 6 : 3/2 × 6 : 2 × 6</span><br><span>⇒ 8 : 9 : 12</span><br><strong><span>∴ T</span><span>he ratio of the investments of A, B and C is 8 : 9 : 12.</span></strong>		MATH::Partnership CGL::Mains::019
4	A bike is sold for ₹87,500 by allowing a discount of 44% on its marked price. The marked price (in ₹) of the bike is	1,56,100	1,58,225	1,56,250	1,55,500	3	<strong>Given:</strong><br><span>A bike is sold for ₹87,500 by allowing a discount of 44% on its marked price.</span><br><span><strong>Calculation:</strong></span><br><span>Let the marked price of a Bike be 100 units.</span><br><span>When sold at a 44% discount,</span><br><span>⇒ Selling price = 100 × (100 - 44)/100 = 56 units.</span><br><span>Now according to the question,</span><br><span>⇒ 56 units = ₹ 87,500</span><br><span>⇒ 1 unit = 87,500/56 = 3125/2</span><br><span>Total marked price = 100 units,</span><br><span>⇒ 100 × 3125/2 = 156250</span><br><strong>∴ The marked price of the bike is 1,56,250.</strong>		MATH::Discount CGL::Mains::019
5	A, B, C are three points such that AB = 9 cm, BC = 11 cm and AC = 20 cm. The number of circles passing through points A, B, C is:	2	0	1	3	2	<span>Given:</span><br><span>A, B, C are three points such that AB = 9 cm, BC = 11 cm and AC = 20 cm.</span><br><span>Concept used:</span><br>1. If any three points are on a circle, then they must form a triangle that circumscribes the circle.<br><img alt=""src="//storage.googleapis.com/tb-img/production/23/04/F2_Madhuri_SSC_14.04.2023_D1.png"><br>2. A triangle is valid if the sum of its two sides is greater than the third side. If the three sides are a, b, and c, then three conditions should be met: a + b &gt; c, a + c &gt; b, and b + c &gt; a.<br><span>Calculation:</span><br><span>According to the concept,</span><br><span>ABC can not form a triangle since AB + BC </span>≯ AC. (∵ 9 + 11 <span>≯ </span>20)<br>Hence, A, B, and C are not on any circle.<br>So, t<span>he number of circles passing through points A, B, C = 0</span><br><strong><span>∴ T</span><span>he number of circles passing through points A, B, C is 0.</span></strong>		MATH::Geometry CGL::Mains::019
6	A glass jar contains 6 white, 8 black, 4 red and 3 blue marbles. If a single marble is chosen at random from the jar, what is the probability that it is black or blue?	\(\frac{8}{21}\)	\(\frac{11}{21}\)	\(\frac{5}{21}\)	\(\frac{1}{7}\)	2	<span>Given:</span><br><span>A glass jar contains 6 white, 8 black, 4 red, and 3 blue marbles.</span><br><span>Concept used:</span><br>1. Probability of an event = Occurance of Favourable Outcomes ÷ <span>Occurance of Total Outcomes</span><br><span>2. </span><span>n</span><span>C</span><span>r</span> = \(\frac {n!}{(n -r)! r!}\)<br><span>Calculation:</span><br>Total number of black and blue marbles = 8 + 3 = 11<br>Ways of drawing one black or blue marble = <sup>11</sup>C<sub>1</sub> = 11<br><span>Ways of drawing amongst all marbles = </span><sup>21</sup><span>C</span><sup>1</sup><span> </span><span>= 21</span><br><span><span></span></span><br>Now, i<span>f a single marble is chosen at random from the jar, the probability that it is black or blue</span><br><span>⇒ 11/21</span><br><strong><span>∴ I</span><span>f a single marble is chosen at random from the jar, </span><span>the probability that it is black or blue is 11/21.</span></strong>		MATH::Probability CGL::Mains::019
7	Find the mode for the given distribution (rounded off to two decimal places).<table border="1"><tr><td>Class Interval<td>5-10<td>10-15<td>15-20<td>20-25<td>25-30<td>30-35<tr><td>Frequency<td>8<td>7<td>6<td>9<td>11<td>10</table>	35.25	40.25	30.33	28.33	4	<span>Given:</span><table border="1"><tr><td>Class Interval<td>5-10<td>10-15<td>15-20<td>20-25<td>25-30<td>30-35<tr><td>Frequency<td>8<td>7<td>6<td>9<td>11<td>10</table><span>Concept used:</span><br>Mode = L + \(\frac {f_1 - f_0}{2f_1 - f_0 - f_2} \times h\)<br>where<br>L = lower class limit of modal class,<br>h = class size, f<sub>1</sub> = frequency of modal class,<br>f<sub>0</sub> = frequency of class preceeding to modal class,<br>f<sub>2</sub> = frequency of class succeeding to modal class)<br><span>Calculation:</span><br><span>According to the concept,</span><br>Here, the maximum frequency is 11 and the corresponding class is 25 - 30.<br>So, the modal class = 25 - 30<br>Hence,<br>L = 25<br>h = 30 - 25 = 5<br>f<sub>1</sub> = 11<br>f<sub>0</sub> = 9<br>f<sub>2</sub> = 10<br>Now, Mode of the distribution<br><span>⇒ 25 + \(\frac {11 - 9}{2 \times 11 - 9 - 10} \times 5\)</span><br><span>⇒ 25 + \(\frac {2}{3} \times 5\)</span><br><span>⇒ 25 + \(\frac {10}{3}\)</span><br><span>⇒ \(\frac {85}{3}\) ≈ 28.33</span><br><span>∴ The mode of the distribution is 28.33.</span>		MATH::Statistics CGL::Mains::019
8	If interest be compounded half-yearly, then find the compound interest on ₹8,000 at the rate of 20% per annum for 1 year.	₹1,675	₹1,690	₹1,685	₹1,680	4	<span>Given:</span><br>Principal = ₹8000<br>Rate of interest = 20%<br>Time = 1 year<br><span>Concept used:</span><br>1. In case of the compound interest, Amount = P(1 + R/100)<sup>N</sup> and ​CI = P(1 + R/100)<sup>N</sup> - P (where P = Principal amount, R = Rate of interest per year, N = Time in years)<br>2. When the interest is compounded half-yearly, N becomes 2N. (N = Time in years)<br>3.<span> When the interest is compounded half-yearly, R</span><span> becomes R/2</span><span>. (R = Rate of Interest)</span><br><span>Calculation:</span><br>Now, the compound interest <span>on ₹8,000 at the rate of 20% per annum for 1 year while interest compounded half-yearly</span><br><span>⇒ 8000(1 + \(\frac {20 \over 2}{100}\)</span>)<sup>1 × 2</sup> - 8000<br><span>⇒ 8000(1 + 10/100</span><span>)</span><sup>2</sup><span> - 8000</span><br><span>⇒ 9680 - 8000</span><br><span>⇒ ₹1680</span><br><strong><span>∴ T</span><span>he compound interest on ₹8,000 at the rate of 20% per annum for 1 year is ₹1,680.</span></strong>		MATH::Compound-Interest CGL::Mains::019
9	A basket contains 350 eggs. If 12% of the eggs are rotten, how many eggs are good enough to be sold?	408	310	308	410	3	<b>Given:</b><br>Total eggs are 350.<br>12% of them are rotten<br><strong>Calculation:</strong><br>Good eggs = Total eggs - Rotten Eggs<br>⇒ <span>Good eggs = </span>350 - 12% of 350<br>⇒ <span>Good eggs = </span><sup>350</sup>- 12/100 × 350<br><span>⇒ </span><span>Good eggs = </span><span>350 - 42 = 308</span><br><strong><span>∴ Good eggs are 308.</span></strong>		MATH::Percentage CGL::Mains::019
10	A circle touches all four sides of a quadrilateral ABCD. If AB = 18 cm, BC = 21 cm and AD = 15 cm, then length CD is:	16 cm	14 cm	12 cm	18 cm	4	<span>Given:</span><br><span>A circle touches all four sides of a quadrilateral ABCD.</span><br><span>AB = 18 cm, BC = 21 cm, and AD = 15 cm.</span><br><span>Concept used:</span><br><span>The lengths of the two tangents drawn from an external point to a circle are equal.</span><br><span>Calculation:</span><br><img alt=""src="//storage.googleapis.com/tb-img/production/23/05/F2_Vinanti_SSC_16.05.23_D1_V2.png"><br><span>DR and DQ are the tangents drawn from the external point D.</span><br><span>According to the concept,</span><br>DQ = DR = a (let)<br>Similarly,<br>CR = CS = b (let)<br>BP = BS = c (let)<br>AP = AQ = d (let)<br>Hence,<br>c + d = AB<br><span>⇒ c + d = 18 ....(1)</span><br><span>b + c = BC</span><br><span>⇒ b + c = 21 ....(2)</span><br><span>a + d = AD</span><br><span>⇒ a + d = 15 ....(3)</span><br><span>a + b = CD ....(4)</span><br>Now, (3) + (2) - (1)<br>a + d + b + c - c - d = 15 + 21 - 18<br><span>⇒ a + b = 18</span><br><span>⇒ CD = 18 (from 4)</span><br><span>∴ The length of CD is 18 cm.</span>		MATH::Geometry CGL::Mains::019
