#separator:tab
#html:true
#tags column:10
1	ABCD is a quadrilateral in which diagonal BD = 70 cm. AL ⊥ BD and CM ⊥ BD such that AL = 18 cm and CM = 20. Find the area (in cm²) of the quadrilateral ABCD.	1320	1310	1330	1300	3	<strong>Given:</strong><br>ABCD is a quadrilateral in which diagonal BD = 70 cm, AL = 18 cm and CM = 20 cm.<br><strong>Formula used:</strong><br>Area of quadrilateral ABCD = (1/2) x Diagonal x (Sum of Perpendicular)<br><strong>Calculation:</strong><br><img alt=""src="//storage.googleapis.com/tb-img/production/25/03/Task%20Id%201160%20Daman%20%281%29.png"><br><span>Area = (1/2) x BD x (AL + CM)</span><br><span>Area = (1/2) x 70 x (18 + 20)</span><br>Area = (1/2) x 70 x 38<br>⇒ Area = <sup>1330</sup> cm<sup>2</sup><br><strong>∴ The correct answer is option (3).</strong>		MATH::Geometry CGL::Mains::025
2	A tank when full can be emptied by an outlet pipe A in 5.6 hours, while an inlet pipe B can fill the same empty tank in 7 hours. If pipes A and B are turned on alternatively for 1 hour each starting with pipe A when the tank is full, how long will it take to empty the tank?	56 hours	55 hours	48 hours	47 hours	4	<strong>Given:</strong><br>A tank when full can be emptied by an outlet pipe A in 5.6 hours, while an inlet pipe B can fill the same empty tank in 7 hours. If pipes A and B are turned on alternatively for 1 hour each starting with pipe A when the tank is full, how long will it take to empty the tank?<br><strong>Calculation:</strong><br>Let the capacity of the tank be 28 units. <strong>(By taking L.C.M. of 5.6 and 7)</strong><br>Efficiency of pipe A = 28/5.6 = -5 <strong>(Negative as it is an outlet Pipe)</strong><br>Efficiency of pipe B = 28/7 = 4 <strong>(Positive as it is inlet Pipe)</strong><br>Work done by both pipes in 2 hours = -5 + 4 = -1 unit<br>At the last hour, pipe A will work alone, hence 5 units of work will be done by pipe A.<br>Remaining work i.e. 28 - 5 = 23 units are done by Pipe A and Pipe B.<br>Time taken = 23 × 2 = 46 hours<br><strong>∴ It will take 46 + 1 = 47 hours to empty the tank.</strong>		MATH::Pipe-And-Cistern CGL::Mains::025
3	If a : b = 2 : 3, b : c = 5 : 7, then find the ratio c : a.	15 : 21	20 : 21	21 : 10	10 : 21	3	<strong>Given:</strong><br>a : b = 2 : 3<br>b : c = 5 : 7<br><strong>Formula used:</strong><br>To find c : a, we need to express both ratios with a common term and then combine them.<br><strong>Calculation:</strong><br>a : b = 2 : 3<br>b : c = 5 : 7<br>Let's make b the common term in both ratios:<br>a : b = 2 × 5 : 3 × 5 = 10 : 15<br>b : c = 3 × 5 : 3 × 7 = 15 : 21<br>Now, combining these ratios, we get:<br>a : b : c = 10 : 15 : 21<br>Thus, the ratio c : a is 21 : 10<br><strong>∴ The correct answer is option (3).</strong>		MATH::Ratio-And-Proportion CGL::Mains::025
4	In a circle centered at O, a diameter AB is extended to a point C outside the circle. CD is a tangent at point D on the circle. If CD = 7√3 cm and ∠DBC = 120°, then the length of the diameter of the circle is equal to:	16 cm	20 cm	18 cm	14 cm	4	<strong>Given:</strong><br>In a circle centered at O, a diameter AB is extended to a point C outside the circle. CD is a tangent at point D on the circle. CD = 7√3 cm and ∠DBC = 120º.<br><strong>Formula used:</strong><br>Using the properties of a tangent and a circle, and the relationship between angles and lengths in a circle.<br><strong>Calculations:</strong><br><img alt=""src="//storage.googleapis.com/tb-img/production/25/03/Task%20Id%201160%20Daman%20%282%29.png"><br>Let r be the radius of the circle.<br>Since CD is a tangent, OD ⊥ CD. Thus, ΔODC is a right triangle.<br><span>∠OBD = 180º - ∠DBC = 180º - 120º = 60º (Total angle on Straight Line = 180º)</span><br>In ΔODB, OB = OD (radius of a Triangle)<br>So, <span>∠OBD = ∠ODB = 60º (angles opposite to the radius of triangle are equal)</span><br>∠ODC = 90º, ∠BDC = <span>∠ODC - ∠ODB = 90º - 60º = 30º </span>and ∠OCD = 30º.<br><span>In ΔODC u</span>sing the tangent-secant theorem, we have:<br>OD = r (radius)<br>CD = 7√3<br>tan(∠OCD) = <span>tan(30º) = perpendicular / base = OD/CD</span><br>⇒ tan(30º) = r / (7√3)<br>⇒ 1/√3 = r / (7√3)<br>⇒ r = 7 cm<br>Diameter = 2r = 2 × 7 = 14 cm<br><strong>∴ The correct answer is option (4).</strong>		MATH::Geometry CGL::Mains::025
5	If x = 4 + √6 and y = 4 - √6 then the value of x<sup>2</sup> + y<sup>2</sup> is:	51	42	44	43	3	<strong>Given:</strong><br>If x = 4 + √6 and y = 4 - √6<br><strong>Formula used:</strong><br>x<sup>2</sup> + y<sup>2</sup> = (x + y)<sup>2</sup> - 2xy<br><strong>Calculation:</strong><br>x = 4 + √6 and y = 4 - √6<br>x + y = (4 + √6) + (4 - √6) = 8<br>x × y = (4 + √6)(4 - √6) = 4<sup>2</sup> - (√6)<sup>2</sup> = 16 - 6 = 10<br>⇒ x<sup>2</sup> + y<sup>2</sup> = (8)<sup>2</sup> - 2 <span>× </span>10<br>⇒ x<sup>2</sup> + y<sup>2</sup> = 64 - 20<br>⇒ x<sup>2</sup> + y<sup>2</sup> = 44<br><strong>∴ The correct answer is option (3).</strong>		MATH::Algebra CGL::Mains::025
6	If \(\rm \cos27°=\frac{P}{q}\), then find the value of cosec 27° - cos 63°.	\(\rm \frac{p}{q\sqrt{q^2-p^2}}\)	\(\rm \frac{p^2}{q\sqrt{q^2-p^2}}\)	\(\rm \frac{q}{p\sqrt{q^2-p^2}}\)	\(\rm \frac{q^2}{p\sqrt{q^2-p^2}}\)	2	<strong>Given:</strong><br>cos 27° = p/q<br><strong>Formula used:</strong><br>cosec A = 1 / sin A<br>cos (90° - A) = sin A<br><strong>Calculations:</strong><br>⇒ cosec 27° = 1 / sin 27°<br>⇒ cos 63° = sin 27° (since cos (90° - A) = sin A)<br>⇒ cosec 27° - cos 63° = 1 / sin 27° - sin 27°<br>⇒ cosec 27° - cos 63° = (1 - sin² 27°) / sin 27°<br>⇒ cosec 27° - cos 63° = cos² 27° / sin 27°<br>Now, using the given cos 27° = p/q, we get:<br>⇒ cos² 27° = (p² / q²)<br>⇒ sin² 27° = 1 - cos² 27° = 1 - (p² / q²)<br>⇒ sin 27° = √(q² - p²) / q<br>Substituting this into the equation for cosec 27° - cos 63°:<br>⇒ cosec 27° - cos 63° = (p² / q²) / (√(q² - p²) / q)<br>⇒ cosec 27° - cos 63° = p² / (q√(q² - p²))<br><strong>∴ The correct answer is option (2).</strong>		MATH::Trigonometry CGL::Mains::025
7	The average of first 92 even numbers is	94	92	93	91	3	<strong>Given:</strong><br>The average of first 92 even numbers<br><strong>Formula used:</strong><br>Average of first n even numbers = (n + 1)<br><strong>Calculations:</strong><br>n = 92<br>⇒ Average = 92 + 1<br>⇒ Average = 93<br><strong>∴ The correct answer is option (3).</strong>		MATH::Average CGL::Mains::025
8	Simplify (5z - 7y)<sup>2</sup> + (7z + 5y)<sup>2</sup> - 49z<sup>2</sup>	30z<sup>2</sup> + 83y<sup>2</sup>	35z<sup>2</sup> + 70y<sup>2</sup>	26z<sup>2</sup> + 82y<sup>2</sup>	25z<sup>2</sup> + 74y<sup>2</sup>	4	<strong>Given:</strong><br>Simplify (5z - 7y)<sup>2</sup> + (7z + 5y)<sup>2</sup> - 49z<sup>2</sup><br><strong>Formula used:</strong><br>(a + b)<sup>2</sup> = a<sup>2</sup> + 2ab + b<sup>2</sup><br>(a - b)<sup>2</sup> = a<sup>2</sup> - 2ab + b<sup>2</sup><br><strong>Calculation:</strong><br>(5z - 7y)<sup>2</sup> + (7z + 5y)<sup>2</sup> - 49z<sup>2</sup><br>⇒ (25z<sup>2</sup> - 2 × 5z × 7y + 49y<sup>2</sup>) + (49z<sup>2</sup> + 2 × 7z × 5y + 25y<sup>2</sup>) - 49z<sup>2</sup><br>⇒ 25z<sup>2</sup> - 70zy + 49y<sup>2</sup> + 49z<sup>2</sup> + 70zy + 25y<sup>2</sup> - 49z<sup>2</sup><br>⇒ 25z<sup>2</sup> + 49z<sup>2</sup> - 49z<sup>2</sup> + 49y<sup>2</sup> + 25y<sup>2</sup><br>⇒ 25z<sup>2</sup> + 74y<sup>2</sup><br><strong>∴ The correct answer is option (4).</strong>		MATH::Algebra CGL::Mains::025
9	Let PQR be a right angled triangle, right-angled at R. Let PQ = 29 cm, QR = 21 cm and ∠Q = θ. Find the value of cos<sup>2</sup> θ – sin<sup>2</sup> θ.	\(\frac{41}{841}\)	\(\frac{841}{41}\)	\(\frac{840}{40}\)	\(\frac{40}{840}\)	1	<strong>Given:</strong><br>Let PQR be a right-angled triangle, right-angled at R.<br>PQ = 29 cm, QR = 21 cm, and ∠Q = θ.<br><strong>Formula used:</strong><br>cos² θ - sin² θ = cos 2θ<br><strong>Calculations:</strong><br><img alt=""src="//storage.googleapis.com/tb-img/production/25/03/Task%20Id%201160%20Daman%20%283%29.png"><br>In Triangle PQR using the Pythagorean theorem:<br>⇒ PR² = PQ² - QR²<br>⇒ PR² = 29² - 21²<br>⇒ PR² = 841 - 441<br>⇒ PR = 20 cm<br>cos θ = QR / PQ = 21 / 29<br>sin θ = PR / PQ = 20 / 29<br>Next, we use the identity for cos² θ - sin² θ:<br>⇒ cos² θ - sin² θ = (cos θ + sin θ) × (cos θ - sin θ)<br>⇒ cos² θ - sin² θ = (21/29)² - (20/29)²<br>⇒ cos² θ - sin² θ = (441/841) - (400/841)<br>⇒ cos² θ - sin² θ = (441 - 400) / 841 = 41 / 841<br><strong>∴ The correct answer is option (1).</strong>		MATH::Trigonometry CGL::Mains::025
10	\(\rm \frac{(a^5\times b^3\times c^7)}{(a^4\times b^8\times c^9)}\) in simplified form is:	(a<sup>-1</sup>) × (b<sup>4</sup>) × (c<sup>-5</sup>)	<span>(a</span><sup>1</sup><span>) × (b<sup>-5</sup></span><span>) × (c</span><span>-2</span><span>​)</span>	<span>(a</span><span>-3</span><span>) × (b<sup>-10</sup></span><span>) × (c</span><span>-4</span><span>)</span>	<span>(a<sup>6</sup></span><span>) × (b<sup>6</sup></span><span>) × (c</span><span>-4</span><span>​)</span>	2	<strong>Given:</strong><br>\(\dfrac{a^5 \times b^3 \times c^7}{a^4 \times b^8 \times c^9}\)<br><strong>Formula used:</strong><br>\(\dfrac{a^m}{a^n} = a^{m-n}\)<br>\(\dfrac{b^m}{b^n} = b^{m-n}\)<br>\(\dfrac{c^m}{c^n} = c^{m-n}\)<br><strong>Calculations:</strong><br>\(\dfrac{a^5 \times b^3 \times c^7}{a^4 \times b^8 \times c^9}\)<br>⇒ a<sup>5-4</sup> × b<sup>3-8</sup> × c<sup>7-9</sup><br>⇒ a<sup>1</sup> × b<sup>-5</sup> × c<sup>-2</sup><br><strong>∴ The correct answer is option 2.</strong>		MATH::Algebra CGL::Mains::025
