#separator:tab
#html:true
#tags column:10
1	<strong>In the following question passage, some of the words have been left out. Read the passage carefully and select the correct answer for the given blank out of the four alternative.</strong><br>The need of the hour is to ______ value-based education. The stress should be on the values such as patience, honesty, tolerance, sympathy, and love for fellow brethren and sisters. The students must be indoctrinated to keep values as _____ priority. The youngster need not only to be taught how to develop their skills, talents, and abilities, the must also be taught how to use these skills, talents and abilities for the _____ and betterment of all. Once values become everyone’s priority in life, all the negative aspects of life will automatically _____. The World ____ needs people with high values to make it a better place to live in.<br><br><strong><b>Question:</b></strong><br>The need of the hour is to _______ value-based education	Impart	Suspect	Retreat	Reject	1	In the blank option 1 can be used whereas others cannot be used as they do not form a meaningful sentence.<br>Impart - <span>bestow (a quality)</span><br>Suspect- doubt the genuineness or truth of.<br>Retreat - an act of moving back or withdrawing.<br>Reject - unacceptable		ENG::Cloze-Test CGL::Mains::009
2	<strong>In the following question passage, some of the words have been left out. Read the passage carefully and select the correct answer for the given blank out of the four alternative.</strong><br>The need of the hour is to ______ value-based education. The stress should be on the values such as patience, honesty, tolerance, sympathy, and love for fellow brethren and sisters. The students must be indoctrinated to keep values as _____ priority. The youngster need not only to be taught how to develop their skills, talents, and abilities, the must also be taught how to use these skills, talents and abilities for the _____ and betterment of all. Once values become everyone’s priority in life, all the negative aspects of life will automatically _____. The World ____ needs people with high values to make it a better place to live in.<br><br><strong><b>Question:</b></strong><br>The students must be indoctrinated to keep values as _______ priority.	Mere	Top	Low	Rare	2	In the blank option 2 can be used whereas others cannot be used as they do not form a meaningful sentence.<br>Mere - used to emphasize how small or insignificant someone or something is.<br>Top - the highest<br>Low - below average in amount, extent, or intensity.<br>Rare - not occurring very often.		ENG::Cloze-Test CGL::Mains::009
3	<strong>In the following question passage, some of the words have been left out. Read the passage carefully and select the correct answer for the given blank out of the four alternative.</strong><br>The need of the hour is to ______ value-based education. The stress should be on the values such as patience, honesty, tolerance, sympathy, and love for fellow brethren and sisters. The students must be indoctrinated to keep values as _____ priority. The youngster need not only to be taught how to develop their skills, talents, and abilities, the must also be taught how to use these skills, talents and abilities for the _____ and betterment of all. Once values become everyone’s priority in life, all the negative aspects of life will automatically _____. The World ____ needs people with high values to make it a better place to live in.<br><br><strong><b>Question:</b></strong><br>They must also be taught how to use these skills, talents and abilities for the ______ and betterment of all.	Loss	Misfortune	Welfare	Detriment	3	In the blank option 3 can be used whereas others cannot be used as they do not form a meaningful sentence.<br>Loss- to lose ‘Misfortune - bad luck<br>Welfare -the health, happiness, and fortunes of a person or group.<br>Detriment - a cause of harm or damage.		ENG::Cloze-Test CGL::Mains::009
4	<strong>In the following question passage, some of the words have been left out. Read the passage carefully and select the correct answer for the given blank out of the four alternative.</strong><br>The need of the hour is to ______ value-based education. The stress should be on the values such as patience, honesty, tolerance, sympathy, and love for fellow brethren and sisters. The students must be indoctrinated to keep values as _____ priority. The youngster need not only to be taught how to develop their skills, talents, and abilities, the must also be taught how to use these skills, talents and abilities for the _____ and betterment of all. Once values become everyone’s priority in life, all the negative aspects of life will automatically _____. The World ____ needs people with high values to make it a better place to live in.<br><br><strong><b>Question:</b></strong><br>All the negative aspects of life will automatically _____.	Dwindle	Develop	Expand	Enlarge	1	In the blank option 1 can be used whereas others cannot be used as they do not form a meaningful sentence.<br>Dwindle - diminish gradually in size, amount, or strength.<br>Develop - to build<br>Expand - to increase<br>Enlarge - to extend		ENG::Cloze-Test CGL::Mains::009
5	<strong>In the following question passage, some of the words have been left out. Read the passage carefully and select the correct answer for the given blank out of the four alternative.</strong><br>The need of the hour is to ______ value-based education. The stress should be on the values such as patience, honesty, tolerance, sympathy, and love for fellow brethren and sisters. The students must be indoctrinated to keep values as _____ priority. The youngster need not only to be taught how to develop their skills, talents, and abilities, the must also be taught how to use these skills, talents and abilities for the _____ and betterment of all. Once values become everyone’s priority in life, all the negative aspects of life will automatically _____. The World ____ needs people with high values to make it a better place to live in.<br><br><strong><b>Question:</b></strong><br>The world _______ needs people with high values	Direly	Hardly	Abnormally	Absently	1	In the blank, Option 1 can be used whereas others cannot be used as they do not form a meaningful sentence.<br>Direly - Involving great fear or suffering.<br>Hardly - Harshly, Barely, Little, Slightly.<br>Abnormally -Irregularly or extraordinarily.<br>Absently - Vaguely.		ENG::Cloze-Test CGL::Mains::009
6	<strong>In the following question, a sentence has been given in Active/Passive voice. Out of the four alternatives suggested, select the one which best expresses the same sentence in Passive/Active voice.</strong><br>I adore movie stars.​	Adoring movie stars is being done by me.	Movie stars are adored by me.	I am in adoration of movie stars.	Movie stars are what that is adored by me.	2	The rules to change from Active to Passive voice are:<br>1. The subject and object should be interchanged in the sentence.<br>2.Only third form of the verb or past participle form of the verb will be used as main verb in passive voice.<br>Options 3 and 4 are incorrect as they are different in the meaning of the active voice.<br>Option 1 is in violation of rule 1.<br>The correct option is option 2.		ENG::Active-Passive CGL::Mains::009
7	<strong>In the following question, a sentence has been given in Active/Passive voice. Out of the four alternatives suggested, select the one which best expresses the same sentence in Passive/Active voice.</strong><br>The management appreciates your efforts.​	Appreciating of your efforts is being done by the management.	Efforts which are made by you will be appreciated by the management.	Appreciation of your efforts is done by the management.	Your efforts are appreciated by the management.	4	The rules to change from Active to Passive voice are:<br>1. The subject and object should be interchanged in the sentence.<br>2.Only third form of the verb or past participle form of the verb will be used as main verb in passive voice.<br>Options 1 and 3 are in violation of rule 2 and hence, should be eliminated.In<br>Option 2, the meaning of the sentence is changed due to the tense change, and hence, is an incorrect option.<br>The correct option is option 4.		ENG::Active-Passive CGL::Mains::009
8	In the following question, a sentence has been given in Direct/Indirect speech. Out of the four alternatives suggested, select the one which best expresses the same sentence in Indirect/Direct speech.<br><strong>My father said to me, "We will be going to Jaipur this summer."</strong>	My father says that we would be going to Jaipur that summer.	My father told me that we will be going to Jaipur that summer.	My father says that we will be going to Jaipur this summer.	My father told me that we would be going to Jaipur that summer.	4	The rules of direct/indirect speech are:<br>1. When the reporting or principal verb is in the Past Tense, all Present tenses of the direct are changed into the corresponding Past Tenses.<br>Option 1 and 3 are ruled out because the conversion is incorrect. they are still in the direct form.<br>Option 2 is incorrect because the tense for “will” is not changed.<br>The correct option is 4.		ENG::Narration CGL::Mains::009
9	<strong>In the following question, some parts of the sentence may error. Find out which part of the sentence has an error and select the appropriate option. If a sentence is free from error, select ‘No Error’.</strong><br>Terminals are locations where passengers (1)/ and freight can be transferred (2)/ from one or mode to others. (3)/ No Error (4)	1	2	3	4	3	The mistake in the statement is in part 3 where the correction should be "from one mode or to others" instead of "one or mode to others".		ENG::Spot-the-Error CGL::Mains::009
10	<strong>In the following question, a sentence has been given in Active/Passive voice. Out of the four alternatives suggested, select the one which best expresses the same sentence in Passive/Active voice.</strong><br>She will never admit her mistakes.​	Admission of her mistakes will never be done by her.	Her mistakes will never be admitted by her.	Her mistakes is what she will never be admitting.	Admitting her mistakes has never been done by her.	2	The rules to change from Active to Passive voice are:<br>1. The subject and object should be interchanged in the sentence.<br>2.Only third form of the verb or past participle form of the verb will be used as main verb in passive voice.Here, the subject is the person “her” and the object is “her mistakes”.<br>Options 1 and 4 are incorrect because they do not follow rule 2. The main verb is “admission” and not “do”.<br>Option 3 is also incorrect because it is true idiomatically for other objects and not only one specific object.<br>The correct option is option 2.		ENG::Active-Passive CGL::Mains::009
