#separator:tab
#html:true
#tags column:10
1	Select the most appropriate word for the given group of words.<br>a decision on which one cannot go back	intractable	invincible	invulnerable	irrevocable	4	<ul><li><strong>The correct answer is Option 4.</strong><li>The word '<strong>irrevocable</strong>' is the correct answer as it means '<strong>that cannot be changed' </strong>which also means that something on which one cannot go back.<li>The meaning of other words:<li>intractable: very difficult to deal with (of a problem or person)<li>invincible: too strong to be defeated or changed.<li>invulnerable: ​that cannot be harmed or defeated; safe.</ul>		ENG::One-Word-Substitution CGL::Mains::011
2	Select the most appropriate sequence from the given options to make a meaningful paragraph from jumbled sentences.<br>A. And taking this village lad into their midst was terribly upsetting.<br>B. She was by no means pleased with this unnecessary addition to her family.<br>C. When he reached Calcutta, Phatik met his aunt for the ﬁrst time.<br>D. She found her own three boys quite enough to manage without taking in anyone else.	CBDA	BCDA	CADB	BCAD	1	<ul><li><strong>The correct answer is Option 1.</strong><li>The correct answer begins with sentence C which is introducing the subjects Phatik and his aunt about whom the remaining sentences are talking about.<li>Sentence C says that phatik met his aunt for the first time and will be continued by sentence B which says that his aunt didn't like him going there.<li>Sentences D and A make paired sentences as they are connected by the conjunction 'and' which joins two similar sentences.<li><strong>Therefore, the correct sequence is given in Option 1 i.e. 'CBDA'.</strong></ul>		ENG::Para-Jumble CGL::Mains::011
3	Select the most appropriate indirect form of the given sentence.<br>Rani said, “We are organizing a cleaning programme in the colony tomorrow.”	Rani said that we are organizing a cleaning programme in the colony tomorrow	Rani said that they were organizing a cleaning programme in the colony the next day.	Rani told that we were organizing a cleaning programme in the colony that day.	Rani asked why they were organizing a cleaning programme in the colony the next day.	2	<ul><li><strong>The correct answer is option 2.</strong><li>While converting a sentence from direct form indirect form reported speech and reporting speech are joined with conjunction '<strong>that</strong>' if the reported speech is an affirmative sentence.<li>The <strong>present tense</strong> is changed into<strong> past tense</strong>.<li>The<strong> first person</strong> in the reported speech is changed according to the<strong> subject</strong> of the reporting speech.<li>'<strong>Tomorrow</strong>' is changed into <strong>'the next day'</strong>.<li>Out of given alternatives, these rules are followed only in option 2.<li>Therefore, the correct indirect form of the given sentence is <strong>'Rani said that they were organizing a cleaning programme in the colony the next day.'</strong></ul>		ENG::Narration CGL::Mains::011
4	Select the most appropriate synonym of the given word.<br>PERSIST	forget	cease	continue	halt	3	<ul><li><strong>The correct answer is Option 3.</strong><li>The given word '<strong>persist</strong>' means ' <strong>to continue to do something despite difficulties or opposition</strong>' so the word '<strong>continue</strong>' is the most appropriate synonym.<li>The meaning of other words:<li>forget: to be unable to remember.<li>cease: to stop happening or existing.<li>halt: to stop; to make somebody/something stop.</ul>		ENG::Synonyms CGL::Mains::011
5	Identify the segment in the sentence which contains the grammatical error from the given options.<br>He switched on the TV to listening to the speech of the PM on the Independence Day.	He switched on the TV	on the Independence Day.	to listening to the speech	of the PM	3	<ul><li>The correct answer is <strong>option 3</strong>.<li>In the given sentence the error lies in the wrong usage of the verb.<li>'To' is always followed by V1. Therefore, 'listen' should be used in place of 'listening'.<li>Therefore, the correct sentence is 'He switched on the TV to listen to the speech of the PM on Independence Day.'</ul>		ENG::Spot-the-Error CGL::Mains::011
6	Select the correct active form of the given sentence.<br>Being a space scientist, you are advised not to take your work lightly.	Being a space scientist, you could not take your work lightly.	Being a space scientist, you should not take your work lightly.	Being a space scientist, you will not take your work lightly.	Being a space scientist, you do not take your work lightly.	2	<ul><li><strong>The correct answer is option 2.</strong><li>The use of '<strong>advised</strong>' in the given sentence shows that '<strong>should</strong>' will be used in its active form.<li>The modal 'should' is used to give<strong> 'advice/suggestion'</strong>.<li>Therefore, the correct active form of the given sentence is <strong>'Being a space scientist, you should not take your work lightly.'</strong></ul>		ENG::Active-Passive CGL::Mains::011
7	Select the most appropriate word for the given group of words.<br>causing no harm	integral	inorganic	innocuous	insolvent	3	<ul><li><strong>The correct answer is option 3.</strong><li><strong>Innocuous </strong>means '<strong>not likely to offend or harm anyone</strong>'.<li>Therefore, it is the most appropriate word for the given group of words.<li><strong>Meaning of other words:</strong><li>Integral: ​being an essential part of something.<li>Inorganic: ​not consisting of or coming from any living substances.<li>Insolvent: ​not having enough money to pay what you owe.</ul>		ENG::One-Word-Substitution CGL::Mains::011
8	Select the most appropriate option to substitute the underlined segment in the given sentence. If there is no need to substitute it, select No improvement.<br>The old man lifted the heavy bundle <u>with hardly no effort </u>at all.	with hardly any effort	No improvement	without hardly no effort	with hard an effort	1	<ul><li><strong>The correct answer is option 1.</strong><li>In the given sentence, the use of '<strong>no</strong>' with the word is '<strong>hardly</strong>' is wrong.<li>'Hardly' has a <strong>negative meaning </strong>i.e. <strong>almost no,</strong> hence, 'no' is not used with it.<li>Therefore, '<strong>any</strong>' should be used in place of 'no'.</ul>		ENG::Sentence-Improvement CGL::Mains::011
9	Select the most appropriate sequence from the given options to make a meaningful paragraph from jumbled sentences.<br>A. Mr Adams was very proud of it and insisted on an inspection by everyone.<br>B. The vault was a small one but it had a new patented door.<br>C. It fastened three solid steel bolts thrown simultaneously with a single handle, and had a time lock.<br>D. The Elmore Bank had just put in a new safe and vault.	DABC	ADBC	ABCD	BCAD	1	<ul><li><strong>The correct answer is Option 1.</strong><li>The correct answer begins with the sentence D as it is introducing the subject the Elmore Bank which introduced a safe and vault about which all other sentences are talking.<li>D will be followed by A as the pronoun 'it' in sentence A is referring the vault and is talking about the inspection of the vault.<li>A will be followed by B as the details of the inspection are mentioned in B.<li><strong>Therefore, the correct sequence is given in option 1 i.e. DABC.</strong></ul>		ENG::Para-Jumble CGL::Mains::011
10	Select the correct passive form of the given sentence.<br>Please share your class notes with me.	You can share your class notes with me.	Your class notes have been shared with me.	Why don’t you share your class notes with me?	You are requested to share your class notes with me.	4	<ul><li><strong>The correct answer is option 4.</strong><li>The given sentence is an <strong>imperative sentence</strong>.<li>If '<strong>please</strong>' has been used in an imperative sentence '<strong>you are requested</strong>' is used in its passive form and remaining sentence is added after 'you are requested'.<li>Therefore, the correct passive form is '<strong>You are requested to share your class notes with me</strong>.'</ul>		ENG::Active-Passive CGL::Mains::011
