#separator:tab
#html:true
#tags column:10
1	<strong>In the following question, out of the given four alternatives, select the one which best expresses the meaning of the given word.</strong><br>Abnegation	Denial	Excess	Yielding	Admittance	1	The meaning of given words is:<br><strong>Abnegation: </strong><strong>the action of renouncing or rejecting something</strong><br><strong>Denial: </strong><strong>the refusal of something requested or desired</strong><br>Excess: an amount of something that is more than necessary, permitted, or desirable<br>Yielding: (of a substance or object) giving way under pressure; not hard or rigid<br>Admittance: the process or fact of entering or being allowed to enter a place or institution<br><strong>Hence, option 1 is the correct answer.</strong>		ENG::Synonyms CGL::Mains::007
2	<strong>In the following question, out of the given four alternatives, select the one which best expresses the meaning of the given word.</strong><br>Bereft	Full	Deprived	Happy	Populous	2	The meaning of the given words is:<br><strong>Bereft: </strong><strong>deprived of or lacking (something)</strong><br>Full: containing or holding as much or as many as possible; having no empty space<br><strong>Deprived: </strong><strong>suffering a severe and damaging lack of basic material and cultural benefits</strong><br>Happy: feeling or showing pleasure or contentment<br>Populous: having a large population; densely populated<br><strong>Hence, option 2 is the correct answer.</strong>		ENG::Synonyms CGL::Mains::007
3	<strong>In the following question, out of the given four alternatives, select the one which best expresses the meaning of the given word.</strong><br>Carouse	Grieve	Overlook	Frolic	Disregard	3	The meaning of given words is:<br><strong>Carouse: </strong><strong>drink alcohol and enjoy oneself with others in a noisy, lively way</strong><br>Grieve: feel intense sorrow<br>Overlook: fail to notice<br><strong>Frolic: </strong><strong>play or move about in a cheerful and lively way</strong><br>Disregard: pay no attention to; ignore<br><strong>Hence, option 3 is the correct answer.</strong>		ENG::Synonyms CGL::Mains::007
4	<strong>In the following question, out of the given four alternatives, select the one which is opposite in meaning to the given word.</strong><br>Aggrandize	Acclaim	Boost	Parlay	Belittle	4	The meaning of given words is:<br><strong>Aggrandize: </strong><strong>increase the power, status, or wealth of</strong><br>Acclaim: praise enthusiastically and publicly<br>Boost: help or encourage (something) to increase or improve<br>Parlay: turn an initial stake or winnings from a previous bet into (a greater amount) by gambling<br><strong>Belittle: dismiss (someone or something) as unimportant</strong><br><strong>Hence, option 4 is the correct answer.</strong>		ENG::Antonyms CGL::Mains::007
5	<strong>In the following question, out of the given four alternatives, select the one which is opposite in meaning to the given word.</strong><br>Construe	Deduce	Expound	Infer	Obscure	4	The meaning of given words is:<br><strong>Construe: </strong><strong>interpret (a word or action) in a particular way</strong><br>Deduce: arrive at (a fact or a conclusion) by reasoning; draw as a logical conclusion<br>Expound: present and explain (a theory or idea) in detail<br>Infer: deduce or conclude (something) from evidence and reasoning rather than from explicit statements<br><strong>Obscure: not discovered or known about; uncertain</strong><br><strong>Hence, option 4 is the correct answer.</strong>		ENG::Antonyms CGL::Mains::007
6	<strong>In the following question, out of the given four alternatives, select the one which is the opposite in meaning to the given word.</strong><br>Exigent	Urgent	Clamant	Instant	Usual	4	The meaning of given words is:<br><strong>Exigent: </strong><strong>pressing; demanding</strong><br>Urgent: requiring immediate action or attention<br>Clamant: urgently demanding attention<br>Instant: happening or coming immediately<br><strong>Usual: habitually or typically occurring or done</strong><br><strong>Hence, option 4 is the correct answer.</strong>		ENG::Antonyms CGL::Mains::007
7	<strong>In the following question, out of the given four alternatives, select the alternative which best expresses the meaning of the Idiom/Phrase.</strong><br>Alarums and Excursion	Value for money and time	Confused activity and uproar	Source of fun or amusement	Derive excitement or pleasure from	2	The correct answer is <u><strong>Option 2 i.e. confused activity and uproar.</strong></u><br><u><strong><span><strong><span><u>Key Points</u></span></strong></span></strong></u><br><ul><li><strong>Alarums and Excursion </strong>means Frantic activity that causes a clamor<li><strong>For example:</strong><em> The French armies were not far off, and there were <strong>alarums and excursions</strong> all along the border.</em></ul><em>​<span><strong><span><u>Additional Information</u></span></strong></span></em><br><ul><li><span>The noun </span><b>alarum</b><span> is an archaic form of alarm, </span><b>meaning</b><span> a call to arms (the vowel between -r- and -m- in </span><b>alarum</b><span> perhaps arose from rolling of the -r- in the final syllable of the call).</span><li><span>The noun </span><span><em>excursion</em></span><span> denotes </span><span>a sortie</span><span>, i.e. an attack made by troops coming out from a position of defence.</span><li><span>The phrase </span><span><em>alarums and excursions</em></span><span> is an allusion to the frequent collocation of the words </span><span><em>alarum</em></span><span> (also occasionally </span><span><em>alarm</em></span><span>) and </span><span><em>excursion</em></span><span> in stage directions in battle scenes in a number of plays by the English poet and dramatist </span><span rel="noopener"target="_blank">William Shakespeare</span><span> (1564-1616)—although neither </span><span><em>alarums and excursions</em></span><span> nor </span><span><em>alarms and excursions</em></span><span> appear in Shakespeare’s plays.</span></ul>		ENG::Idioms CGL::Mains::007
8	<strong>In the following question, out of the given four alternatives, select the alternative which best expresses the meaning of the Idiom/Phrase.</strong><br>Up in the air (about someone or something)	In prison	Still to be settled	On the wrong track	Enjoying great success	2	The correct answer is <strong>"Still to be settled".</strong><br><span><strong><span><u>Key Points</u></span></strong></span><br><ul><li>Up in the air: Refers to something that is uncertain or unresolved (अभी भी अनिश्चित या असमाप्त).<li>Example: Our vacation plans are still up in the air because we haven't decided on a destination yet.<li>Still to be settled: Not yet decided or resolved (अभी भी तय या हल नहीं हुआ).<li>Example: The details of the contract are still to be settled, so we cannot proceed.<li>Hence, the option that is similar in meaning to the given idiom is 'Still to be settled'.</ul>Therefore, the correct answer is<strong> 'Option 2'.</strong><br><span><strong><span><u>Additional Information</u></span></strong></span><br><ul><li>Let’s have a look at the meaning of the remaining options.<li>In prison: Confined in a jail or similar institution (कैद में).<li>Example: He spent five years in prison for a crime he didn't commit.<li>On the wrong track: Pursuing a mistaken or faulty course of action (गलत रास्ते पर).<li>Example: If you think honesty doesn't matter in business, you're definitely on the wrong track.<li>Enjoying great success: Experiencing a lot of success and achievements (महान सफलता प्राप्त कर रहे हैं).<li>Example: She is enjoying great success as a bestselling author.</ul>		ENG::Idioms CGL::Mains::007
9	<strong>In the following question, out of the given four alternatives, select the alternative which best expresses the meaning of the Idiom/Phrase.</strong><br>Give oneself air	Be intelligent	Penniless	Pretend to be good	Prepare for a difficulty	3	The correct answer is option 3 i.e. pretend to be good.<br>For example: Pay no attention to her. She is just putting on <strong>airs</strong>		ENG::Idioms CGL::Mains::007
10	<strong>In the following question, out of the given four alternatives, select the alternative which best expresses the meaning of the Idiom/Phrase.</strong><br>Alphabet Soup	Incomprehensible or confusing mix	Something outstandingly good	Fashionable and glamorous	Privileged people	1	The correct answer is <strong>option 1 i.e. incomprehensible or confusing mix.</strong><br>For example: All the degrees tacked on behind their names made the ship roster look like alphabet soup.		ENG::Idioms CGL::Mains::007
