#separator:tab
#html:true
#tags column:10
1	Twenty-one times of a positive number is less than its square by 100. The value of the positive number is	25	26	42	41	1	Let the number be x, then<br>According to the question<br>x<sup>2</sup> - 21x = 100 [put the value in options and satisfied the answer or going through detaild method]<br>⇒ x<sup>2</sup> - 21x - 100 = 0<br>⇒ x<sup>2</sup> - 25x + 4x - 100 = 0<br>⇒ x (x - 25) + 4 (x - 25) = 0<br>⇒ (x - 25) (x + 4) = 0<br>Taking,<br>⇒ (x - 25) = 0<br>⇒ x = 25<br><strong>Short Trick:</strong><br>With the help of options<br>Let the number be 25, then<br>⇒ 25<sup>2</sup> - 21 × 25 = 100<br>⇒ 625 - 525 = 100<br>⇒ 100 = 100 (satisfied)		MATH::Algebra CGL::Mains::003
2	Two pipes of length 1.5 m and 1.2 m are to be cut into equal pieces without leaving any extra length of pipes. The greatest length of the pipe pieces of the same size which can be cut from these two lengths will be	0.13 m	0.4 m	0.3 m	0.41 m	3	<img alt=""src="//storage.googleapis.com/tb-img/production/20/04/F1_sonali.G_16-04-202-_Savita_D1.png"><br>HCF of 1.5 m and 1.2 m is 0.3 m<br>So, the greatest length of the pipe pieces of the same size which can be cut from these two lengths will be 0.3 m.		MATH::HCF-And-LCM CGL::Mains::003
3	A General of an Army wants to create a formation of the square from 36562 army men. After arrangement, he found some army men remained unused. Then the number of such army men remained unused was:	36	65	81	97	3	<img alt=""src="//storage.googleapis.com/tb-img/production/20/04/F1_sonali.G_16-04-202-_Savita_D2.png"><br>the number of such army men remained unused was 81.		MATH::Number-System CGL::Mains::003
4	The smallest number, which should be added to 756896 so as to obtain a multiple of 11, is	1	2	3	5	3	<img alt=""src="//storage.googleapis.com/tb-img/production/20/04/F1_sonali.G_16-04-202-_Savita_D3.png"><br>So the smallest number is 3.		MATH::Number-System CGL::Mains::003
5	A boy found the answer to the question "Subtract the sum of 1/4 and 1/5 from unity and express the answer in decimals" as 0.45. The percentage of error in his answer was	(100/11)%	50%	10%	(200/11)%	4	Sum of ¼ and 1/5 = ¼ + 1/5 = (5 + 4)/20 = 9/20 = 0.45<br>According to the question<br>Correct answer = 1 - 0.45 = 0.55<br>Wrong answer = 0.45<br>Error in both answers = 0.55 - 0.45 = 0.10<br>∴ The percentage of error was = [0.10/0.55] × 100 = (200/11)%		MATH::Percentage CGL::Mains::003
6	The product of two numbers is 48. If one number equals "The number of wings of a bird plus 2 times the number of fingers on your hand divided by the number of wheels of a Tricycle". Then the other number is	9	10	12	18	3	Product of two number is = 48<br>First number is = [2 + 2 × 5]/3 = 12/3 = 4<br>Let the second number be x, then<br>⇒ 4x = 48<br>⇒ x = 48/4<br>x = 12		MATH::Simplification CGL::Mains::003
7	Natu and Buchku each have a certain number of oranges. Natu says to Buchku,"If you give me 10 of your oranges, I will have twice the number of oranges left with you". Buchku replies,"If you give me 10 of your oranges, I will have the same number of oranges as left with you". What is the number of oranges with Natu and Buchku, respectively?	50, 20	70, 50	20, 50	50, 70	2	<strong>Short Trick:</strong><br>With help of options<br>Let Natu has 70 oranges and Buchku has 50 oranges.<br>If Natu take 10 oranges from Buchku, then Natu’s oranges become = 70 + 10 = 80<br>Buchku’s remainig oranges = 50 - 10 = 40 (condition satisfied)<br><strong>Detailed Method:</strong><br>Let Natu and Buchku has x and y oranges respectively.<br>Condition first<br>x + 10 = 2 (y - 10)<br>⇒ x - 2y = -30 ----(1)<br>Condition second<br>x - 10 = y + 10<br>⇒ x - y = 20 ----(2)<br>Subtraction equation (1) from equation (2)<br>y = 50 and x = 70		MATH::Algebra CGL::Mains::003
8	A square playground measures 1127.6164 sq.m. If a man walks \(2\frac{9}{{20}}m\) a minute, the time taken by him to walk one round around it is approximately:	50.82 min	54.82 min	54.62 min	50.62 min	2	<img alt=""src="//storage.googleapis.com/tb-img/production/20/04/F1_sonali.G_16-04-202-_Savita_D4.png"><br>As we know,<br>Area of square shape playground = a<sup>2</sup><br>⇒ a<sup>2</sup> = 1127.6164<br>⇒ a = √1127.6164<br>⇒ a = 33.58 m<br>Perimeter of playground = 4 × 33.58 = 134.32 m<br>Speed of man = 49/20 m/min<br>∴ Time to covered 134.32 m distance = 134.32/(49/20) = 54.82		MATH::Mensuration CGL::Mains::003
9	Three electronic devices make a beep after every 48 sec, 72 sec and 108 sec respectively. They beeped together at 10 a.m. The time when they will next make a beep together at the earliest is	10:07:12 hrs	10:07:24 hrs	10:07:36 hrs	10:07:48 hrs	1	<img alt=""src="//storage.googleapis.com/tb-img/production/20/04/F1_sonali.G_16-04-202-_Savita_D5.png"><br>LCM of 48, 72 and 108 = 2 × 2 × 2 × 2 × 3 × 3 × 3 = 432 seconds<br>As we know,<br>⇒ 1 min = 1/60 sec<br>⇒ 432 sec = 7 min 12 sec<br>∴ Required Time = 10 : 07 : 12 hrs		MATH::HCF-And-LCM CGL::Mains::003
10	Two baskets together have 640 oranges. If (1/5)<sup>th</sup> of the oranges in the first basket be taken to the second basket, then the oranges becomes equal in both basket. The number of oranges in the first basket is	800	600	400	300	3	With the help of option<br>Let the number of oranges in first basket be 400,<br>Number of oranges in second basket = 640 - 400 = 240<br>1/5<sup>th</sup> of 400 = 80<br>After getting 1/5<sup>th</sup> of orange of first basket, then remaining oranges = 400 - 80 = 320<br>Oranges in second basket will be = 240 + 80 = 320 (satisfied)<br><strong>Details method:</strong><br>Let the number of oranges in first basket be x,<br>Number of oranges in second basket = 640 - x<br>According to the question<br>x - x/5 = 640 - x + x/5<br>⇒ 4x/5 = 640 - 4x/5<br>⇒ 4x/5 + 4x/5 = 640<br>⇒ 8x/5 = 640<br>⇒ x = 640 × (5/8)<br>⇒ x = 400<br>∴ Number of oranges in first basket = 400.		MATH::Ratio-And-Proportion CGL::Mains::003
