#separator:tab
#html:true
#tags column:10
1	When an article is sold at its marked price, it gives a profit of 25% If a discount of 9.6% is allowed on the marked price, then the profit percent will be:	16.6	13	15.4	15	2	<strong>Given:</strong><br>Profit = <span>25%</span><br><span>Discount = 9.6%</span><br><strong>Formulae Used:</strong><br>Selling price = Marked price - discount on marked price<br>Selling price = cost price + profit on cost price<br><strong>Calculations:</strong><br>Let the CP of the article be x.<br>MP of the article = x × (125/100) = 1.25x<br>SP of the article = 1.25 × (100/90.4) = 1.13x<br>Profit = 1.13x – x = 0.13x<br>Profit percentage = (0.13x/x) × 100 = 13%<br><strong>Short Trick:</strong><br>Suppose the CP = 4 unit<br>MP = 5<br>∴ SP = 5 × (90.4/100) = 4.52 unit<br>Profit percentage = [(4.52 – 4)/4] × 100 = 13%		MATH::Profit-And-Loss CGL::Mains::011
2	The bisector of ∠B in ΔABC meets AC at D. If AB = 10 cm, BC = 11 cm and AC = 14 cm, then the length of AD is∶	7 cm	22/3 cm	20/3 cm	6 cm	3	<img alt=""src="//storage.googleapis.com/tb-img/production/20/01/F2_V.G_10.1.20_Pallavi_D1.png"><br>Given, AB = 10 cm, BC = 11 cm and AC = 14 cm<br>In ΔABC, BD bisector of ∠B, then<br>AB/BC = AD/DC<br>⇒ 10/11 = AD/DC<br>⇒ AD ∶ DC = 10x ∶ 11x<br>⇒ AC = AD + DC = 14 cm<br>⇒ 10x + 11x = 14<br>⇒ 21x = 14<br>⇒ x = 14/21<br>⇒ x = 2/3<br>⇒ AD = 10 × (2/3)<br>⇒ AD = 20/3 cm		MATH::Geometry CGL::Mains::011
3	If the curved surface area of a solid cylinder is one-third of its total surface area, then what is the ratio of its diameter to its height?	4 : 1	2 : 1	5 : 2	1 : 1	1	As we know,<br>Curved surface area of cylinder = 2 πrh<br>Total surface area of cylinder = 2 πr(h + r)<br>According to the question<br>[2 πrh/2 πr (r + h)] = 1/3<br>⇒ 3h = h + r<br>⇒ 3h – h = r<br>⇒ 2h = r<br>⇒ h/r = 1/2<br>⇒ h/2r = 1/4<br>⇒ 4/1 = 2r/h<br>So, ratio of diameter to height of cylinder = 4 : 1		MATH::Mensuration CGL::Mains::011
4	The ratio of the incomes of A and B last year was 4 ∶ 3, respectively. The ratios of their individual incomes of the last year and the present year are 3 ∶ 4 and 5 ∶ 6, respectively. If their total income for the present year is Rs. 8.04 lakh, then the income of B last year was∶	Rs. 2.4 lakh	Rs. 2.7 lakh	Rs. 2.8 lakh	Rs. 3.6 lakh	2	The ratio of the incomes of A and B last year was = 4x ∶ 3x ----(1)<br>The ratio of income of A the last year to the present year is = 3x ∶ 4x ----(2)<br>The ratio of income of B the last year to the present year is = 5x ∶ 6x ----(3)<br>To equate last year income of A and B in the above equation we will multiply 15 in equation (1) and 20 in equation (2) and 9 in equation (3)<br>The ratio of the incomes of A and B last year was = 60x ∶ 45x ----(4)<br>The ratio of income of A the last year to the present year is = 60x ∶ 80x ----(5)<br>The ratio of income of B the last year to the present year is = 45x ∶ 54x ----(6)<br>From equation (5) and equation (6)<br>The ratio of present income of A to the income of B = 80x ∶ 54x<br>According to the question<br>⇒ 80x + 54x = 8.04 lakh<br>⇒ 134x = 8.04 lakh<br>⇒ x = 8.04/134<br>⇒ x = 0.06<br>Last year income of B was = 45x = 45 × 0.06 = 2.7 lakh		MATH::Ratio-And-Proportion CGL::Mains::011
5	The speed of a boat in still water is 18 km/h and the speed of the current is 6 km/h. In how much time (in hours) will the boat travel a distance of 90 km upstream and the same distance downstream?	12	\(11\frac{1}{4}\)	10	\(9\frac{1}{2}\)	2	Speed of boat = 18 km/h<br>Speed of current = 6 km/h<br>Speed of boat in downstream = 18 + 6 = 24 km/hr<br>Speed of boat in upstream = 18 – 6 = 12 km/hr<br>According to the question<br>∴ Total time to cover 90 km distance in upstream and 90 km distance in downstream = 90/24 + 90/12 = (90 + 180)/24 = 270/24 = \(11\frac{1}{4}\) hr		MATH::Boat-And-Stream CGL::Mains::011
6	A person sells an article at 16% below its cost price. Had he sold it for Rs. 33 more, he would have gained 14%. To gain 25%, he should sell the article for∶	Rs. 135	Rs. 128	Rs. 137.5	Rs. 130.5	3	Let the CP of the article be Rs. x<br>If article sold at 16% below its cost price, then SP of the article = x × (84/100) = 0.84x<br>If article sold at 14% above its cost price, then SP of the article = x × (114/100) = 1.14x<br>According to the question<br>⇒ 1.14x – 0.84x = 33<br>⇒ 0.3x = 33<br>⇒ x = 33/0.3<br>⇒ x = 110<br>To gain 25% on CP, then SP of the article = 110 × (125/100) = 137.5<br>Short Trick∶<br>Let CP of the article be 100%, it should be sold at 125% to gain 25%<br>⇒ 16% + 14% = 33<br>⇒ 30% = 33<br>⇒ 125% = (33/30) × 125 = 137.5<br><strong>Alternate solution:</strong><br>Let CP = 100x<br>According to question,<br>⇒ 1.14x – 0.84x = 33<br>⇒ 0.3x = 33<br>⇒ x = 33/0.3<br>⇒ x = 1.1<br>∴ CP = 100x = 100 × 1.1 = 110<br>Now,<br>125/100 × 110 = 137.5 Rs.		MATH::Profit-And-Loss CGL::Mains::011
7	The average weight of a certain number of students in a group is 72 kg. If 10 students having an average weight of 78kg leave and 4 students having an average weight of 80 kg join the group, the average weight of the students in the group decreases by 0.7 kg. The number of students initially in the group is:	46	44	56	54	1	<strong>Given:</strong><br>The average weight of a certain number of students in a group is 72 kg.<br>10 students having an average weight of 78kg. leave.<br>4 students having an average weight of 80 kg join the group.<br>The average weight of the students in the group decreases by 0.7 kg.<br><strong>Formula:</strong><br>Average weight = Total weight/Total number of people<br><strong>Calculation:</strong><br>Let the total number of students be x.<br>Average weight of total students = 72 kg<br>Sum of weight of 10 students whose average weight of 78 kg = 10 × 78 = 780 kg<br>Sum of weight of 4 students whose average weight of 80 kg = 4 × 80 = 320<br>According to the question<br>72x – 780 + 320 = (x – 10 + 4) (72 – 0.7)<br>⇒ 72x – 460 = (x – 6) × 71.3<br>⇒ 72x – 460 = 71.3x – 427.8<br>⇒ 72x – 71.3x = 460 – 427.8<br>⇒ 0.7x = 32.2<br>⇒ x = 32.2/0.7 = 46<br><strong>∴ Number of students initially was 46.</strong><br><img alt=""src="//storage.googleapis.com/tb-img/production/21/07/Alternate%20Method_Sunny_28.7.21.png"><br>Average weight of some students be = 72 kg<br>Deviation of weight of 10 students who leave the class = (78 – 72) × 10 = 60 kg<br>Deviation of weigh of 4 students who join the class = (80 – 72) × 4 = 32 kg<br>Let the number of students after be x then,<br>⇒ 0.7 × x = 60 – 32<br>⇒ x = 28/0.7 = 40<br><strong>∴ </strong><span>Number of s</span><strong>tudents was initially = 40 + 10 – 4 = 46</strong>		MATH::Average CGL::Mains::011
8	In a class, \(83\frac{1}{3}\%\) of the number of students are girls and the rest are boys. If 60% of the number of boys and 80% of the number of girls are present, then what percentage of the total number of students in the class is absent?	\(22\frac{2}{3}\%\)	\(12\frac{1}{2}\%\)	\(26\frac{2}{3}\%\)	\(23\frac{1}{3}\%\)	4	Let total number of students in class be x<br>Number of girls = x × (5/6) = 5x/6<br>Number of boys = x × (1/6) = x/6<br>Number of absent girls = (5x/6) × (20/100) = x/6<br>Number of absent boys = (x/6) × (40/100) = x/15<br>Total number of students who absent = (x/6) + (x/15) = (5x + 2x)/30 = 7x/30<br>Percentage of students who absent = [(7x/30)/x] × 100 = 70/3% = \(23\frac{1}{3}\)<br>Short Trick∶<br>\(83\frac{1}{3}\%\) = 5/6<br>Let total number of students be 60<br>Number of girls = 60 × (5/6) = 50<br>Number of boys = 60 – 50 = 10<br>Number of absent Boys = 10 × (40/100) = 4<br>Number of absent girls = 50 × (20/100) = 10<br>Percentage of absent students = [(4 + 10)/60] × 100 = \(23\frac{1}{3}\)		MATH::Percentage CGL::Mains::011
9	A sum lent out at simple interest amounts to Rs. 6076 in 1 year and Rs. 7504 in 3 years. The sum and the rate of interest (approx) p.a are respectively:	Rs. 5,600 and 9%	Rs. 5,400 and 9%	Rs. 5,400 and 10%	Rs. 5,362 and 13.32%	4	Given that,<br>Sum lent out at simple interest to 6076 in 1 year and 7504 in 3 years.<br>SI of 2 years = 7504 – 6076 = 1428<br>SI of 1 year = 1428/2 = 714<br>Principal = 6076 – 714 = 5362<br>SI = (P × R × T)/100<br>SI = (5362 × r × 1)/100<br>⇒ 714 = (5362 × r × 1)/100<br>⇒ r = 71400/5362 ≈ 13.32%		MATH::Simple-Interest CGL::Mains::011
10	A sum of Rs. x is divided among A, B and C such that the ratio of the shares of A and B is 6 ∶ 7 and that of B and C is 3 ∶ 2. If the difference between the shares of A and C is Rs. 540, then the value of x is∶	7425	7290	7155	7020	3	The ratio of shares of A to B = 6 ∶ 7 ----(1)<br>The ratio of shares of B to C = 3 ∶ 2 ----(2)<br>Multiply by 3 in equation (1) and multiply by 7 in equation (2)<br>The ratio of shares of A, B and C = 18 ∶ 21 ∶ 14<br>Let ratio of shares of A, B and C = 18k ∶ 21k ∶ 14k<br>According to the question<br>18k – 14k = 540<br>⇒ 4k = 540<br>⇒ k = 540/4 = 135<br>Sum of shares of A, B and C = 18k + 21k + 14k = 53k = 53 × 135 = 7155		MATH::Ratio-And-Proportion CGL::Mains::011
