#separator:tab
#html:true
#tags column:10
1	What is the unit digit of the sum of first 111 whole numbers?	4	6	5	0	3	Sum of first 111 whole numbers = 0 + 1 + 2 + 3 + 4 ……………….109 + 110<br>⇒ 0 + 110/2 (1 + 110)<br>⇒ 55 × 111<br>Unit digit of this sum will be 5.		MATH::Number-System CGL::Mains::004
2	How many 100 digit positive numbers are there?	9 × 10<sup>99</sup>	9 × 10<sup>100</sup>	10100	11 × 10<sup>98</sup>	1	In any 100 digit number, first digit cannot be 0. It will be any number from 1 to 9. Then next digits could be any digit from 0 to 9.<br>Number of 100 digit positive numbers = 9 × 10 × 10 × 10 …………………………10 (99 times)<br>⇒ 9 × 10<sup>99</sup>		MATH::Number-System CGL::Mains::004
3	What is the value of \(\frac{{5.6 \times 0.36 + 0.42 \times 3.2}}{{0.8 \times 2.1}}?\)	2	1	3	3/2	1	\(\frac{{5.6 \times 0.36 + 0.42 \times 3.2}}{{0.8 \times 2.1}}\)<br>\(\Rightarrow \frac{{2 \times 7\left( {8 \times 18 + 6 \times 16} \right)}}{{8 \times 210}}\)<br>\(\Rightarrow \frac{{2\left( {144 + 96} \right)}}{{8 \times 30}}\)<br>\(\Rightarrow \frac{{240}}{{4 \times 30}}\)<br>⇒ 2		MATH::Simplification CGL::Mains::004
4	What is the value of \(\frac{{{{\left( {1.2} \right)}^3} + {{\left( {0.8} \right)}^3} + {{\left( {0.7} \right)}^3} - 2.016}}{{\left( {1.35} \right)\left[ {{{\left( {1.2} \right)}^2} + {{\left( {0.8} \right)}^2} + {{\left( {0.7} \right)}^2} - 0.96 - 0.84 - 0.56} \right]}}?\)	1/4	1/2	2	1	3	\(\frac{{{{\left( {1.2} \right)}^3} + {{\left( {0.8} \right)}^3} + {{\left( {0.7} \right)}^3} - 2.016}}{{\left( {1.35} \right)\left[ {{{\left( {1.2} \right)}^2} + {{\left( {0.8} \right)}^2} + {{\left( {0.7} \right)}^2} - 0.96 - 0.84 - 0.56} \right]}}\)<br>\(\Rightarrow \frac{{{{\left( {1.2} \right)}^3} + {{\left( {0.8} \right)}^3} + {{\left( {0.7} \right)}^3} - {\rm{\;}}3 \times 1.2 \times 0.8 \times 0.7}}{{1/2\times\left( {1.35 \times 2} \right)\left[ {{{\left( {1.2} \right)}^2} + {{\left( {0.8} \right)}^2} + {{\left( {0.7} \right)}^2} - 1.2 \times 0.8 - 1.2 \times 0.7 - 0.8 \times 0.7} \right]}}\)<br>\(\Rightarrow \frac{{{{\left( {1.2} \right)}^3} + {{\left( {0.8} \right)}^3} + {{\left( {0.7} \right)}^3} - {\rm{\;}}3 \times 1.2 \times 0.8 \times 0.7}}{{1/2\times\left( {2.7} \right)\left[ {{{\left( {1.2} \right)}^2} + {{\left( {0.8} \right)}^2} + {{\left( {0.7} \right)}^2} - 1.2 \times 0.8 - 1.2 \times 0.7 - 0.8 \times 0.7} \right]}}\)\(\Rightarrow \frac{{{{\left( {1.2} \right)}^3} + {{\left( {0.8} \right)}^3} + {{\left( {0.7} \right)}^3} - {\rm{\;}}3 \times 1.2 \times 0.8 \times 0.7}}{{1/2\times\left( {1.2 + 0.8 + 0.7} \right)\left[ {{{\left( {1.2} \right)}^2} + {{\left( {0.8} \right)}^2} + {{\left( {0.7} \right)}^2} - 1.2 \times 0.8 - 1.2 \times 0.7 - 0.8 \times 0.7} \right]}}\)<br>We know: x<sup>3</sup> + y<sup>3</sup> + z<sup>3</sup> – 3xyz = (x + y + z) (x<sup>2</sup> + y<sup>2</sup> + z<sup>2</sup> – xy – yz – zx)<br>Applying this formula in the numerator of the above fraction;<br>(1.2 + 0.8 + 0.7)/1.35 = 2.7/1.35 = 2<br>∴ Required Answer = 2		MATH::Algebra CGL::Mains::004
5	What is the unit digit of (217)<sup>413</sup> × (819)<sup>547</sup> × (414)<sup>624</sup> × (342)<sup>812</sup>?	2	4	6	8	4	<strong>Given:</strong><br>(217)<sup>413</sup> × (819)<sup>547</sup> × (414)<sup>624</sup> × (342)<sup>812</sup><br><strong>Concept used:</strong><br>Cyclicity of 7 is 4<br>Cyclicity of 9 is 2<br>Cyclicity of 4 is 2<br>Cyclicity of 2 is 4<br>According to cyclicity theorem, dividing the powers by 4 and taking reminders (otherwise 4)<br><strong>Calculation:</strong><br>Unit digit of (217)<sup>413</sup> = 7<sup>413</sup> = 7<sup>(4 × 103) + 1</sup> = 7<sup>1</sup>= 7<br>Unit digit of (819)<sup>547</sup>= 9<sup>547</sup> = 9<sup>(2 × 273) + 1</sup> = 9<sup>1</sup> = 9<br>Unit digit of (414)<sup>624</sup> = 4<sup>624</sup> = 4<sup>(2 × 312)</sup>= 4<sup>4</sup> = 6<br>Unit digit of (342)<sup>812</sup> = 2<sup>812</sup> = 2<sup>(4 × 203)</sup>= 2<sup>4</sup> = 6<br>Unit digit of the this expression will be same as the unit digit of 7<sup>413</sup> × 9<sup>547</sup> × 4<sup>624</sup> × 2<sup>812</sup><br>⇒ 7<sup>1</sup> × 9<sup>3</sup> × 4<sup>4</sup> × 2<sup>4</sup><br>For Unit digit: 7 × 9 × 6 × 6<br>∴ Unit Digit = 8		MATH::Number-System CGL::Mains::004
6	\({\rm{S}} = \frac{1}{{1 \times 3 \times 5}} + \frac{1}{{1 \times 4}} + \frac{1}{{3 \times 5 \times 7}} + \frac{1}{{4 \times 7}} + \frac{1}{{5 \times 7 \times 9}} + \frac{1}{{7 \times 10}} + \ldots\) upto 20 terms. Find the value of S.	6179/15275	6070/14973	7191/15174	5183/16423	2	<strong>Given:</strong><br>\({\rm{S}} = \frac{1}{{1 × 3 × 5}} + \frac{1}{{1 × 4}} + \frac{1}{{3 × 5 × 7}} + \frac{1}{{4 × 7}} + \frac{1}{{5 × 7 × 9}} + \frac{1}{{7 × 10}} + \ldots {\rm{upto\;}}20{\rm{\;terms}}\)<br><strong>Formula Used:</strong><br>nth term of an A.P(Arithmetic Progression)= a + (n-1) × d<br>Sum of n terms of an A.P = \(\frac{n}{2}\) × (a + l)<br>n = number of terms, a = first term of an A.P and d = common difference and l = last term of an A.P.<br><strong>Calculation:</strong><br>\({\rm{S}} = \frac{1}{{1 × 3 × 5}} + \frac{1}{{3 × 5 × 7}} + \frac{1}{{5 × 7 × 9}} \ldots {\rm{upto\;}}10{\rm{\;terms}} + \frac{1}{{1 × 4}} + \frac{1}{{4 × 7}} + \frac{1}{{7 × 10}} + \ldots {\rm{upto\;}}10{\rm{\;terms}}\)<br>We have to take these series separately upto 10 terms each.<br>To find the last term of denominator of series, we use =<span> a + (n-1) × d</span><br><span>In first series , \({\rm{S_1}} = \frac{1}{{1 × 3 × 5}} + \frac{1}{{3 × 5 × 7}} + \frac{1}{{5 × 7 × 9}} \ldots {\rm{upto\;}}10{\rm{\;terms}}\)</span><br><span>here in denominator let's take \(\frac{1}{(a)× (a+2)× (a+4)}\)</span><br><span>a = 1</span><br><span>d= 3 - 1 = 5 - 3 = 2</span><br>n = 10<br>nth term of first series = 1 + (10 - 1) × 2<br>⇒ 1 + 18 = 19<br>Last term of the series will be k × (k+2)× (k+4)<br>⇒ 19 <span>× 21 × 23</span><br>\({\rm{S_1}} = \left( {\frac{1}{{1 × 3 × 5}} + \frac{1}{{3 × 5 × 7}} + \frac{1}{{5 × 7 × 9}} + \ldots \frac{1}{{19 × 21 × 23}}} \right)\)<br>⇒ (1/15) + (1/105) + .... + 1/(9177)<br>⇒ 1/15 can be written as \(\frac{1}{8}× [\frac{1}{1} -\frac{1}{3}] - [\frac{1}{3}-\frac{1}{5}]\)<br>⇒ \(\frac{1}{8}× [1-\frac{2}{3}] +\frac{1}{5}]\)<br><span>⇒ \(\frac{1}{8}× [\frac{1}{3} +\frac{1}{5}]\)</span> = (1/8) ×(8/15) = 1/15<br>Similarly,<br>⇒ 1/105 can be written as \(\frac{1}{8}× [\frac{1}{3} -\frac{1}{5}] + [\frac{1}{5}-\frac{1}{7}]\)<br>⇒ <span>1/9177 can be written as \(\frac{1}{8}× [\frac{1}{19} -\frac{1}{21}] - [\frac{1}{21}-\frac{1}{23}]\)</span><br><span>Now for second series, \(S_2\)</span> =\(\frac{1}{{1 × 4}} + \frac{1}{{4 × 7}} + \frac{1}{{7 × 10}} + \ldots {\rm{upto\;}}10{\rm{\;terms}}\)<br><span>here in denominator let's take \(\frac{1}{(a)× (a+3)}\)</span><br>a = 1<br>d = 4 - 1 = 3<br>n = 10<br><span>nth term of Second series = 1 + (10 - 1) × 3</span><br><span>⇒ 1 + 27 = 28</span><br><span>Last term of the series will be a × (a+3)</span><br><span>⇒ 28 × 31</span><br>S<sub>2</sub>= \(\left( {\frac{1}{{1 × 4}} + \frac{1}{{4 × 7}} + \frac{1}{{7 × 10}} + ...\frac{1}{{28 × 31}}} \right)\)<br>⇒ (1/4) + (1/28) + .....(1/868)<br>⇒ 1/4 can be written as \(\frac{1}{3}× [\frac{1}{1}-\frac{1}{4}]\) = (1/3) × (3/4) =1/4<br>Similarly,<br>1/28 = \(\frac{1}{3}\times [\frac{1}{4}-\frac{1}{7}]\)<br>1/868 = \(\frac{1}{3}\times [\frac{1}{28}-\frac{1}{31}]\)<br><span>S = S</span><sup>1</sup><span>+ S</span><sup>2</sup><br>\({\rm{S}} = \left( {\frac{1}{{1 × 3 × 5}} + \frac{1}{{3 × 5 × 7}} + \frac{1}{{5 × 7 × 9}} + \ldots \frac{1}{{19 × 21 × 23}}} \right) + \left( {\frac{1}{{1 × 4}} + \frac{1}{{4 × 7}} + \frac{1}{{7 × 10}} + ...\frac{1}{{28 × 31}}} \right)\)<br>Putting the values<br>S<sub>1</sub> = \(\frac{1}{8}× [\frac{1}{1} -\frac{1}{3}] - [\frac{1}{3}-\frac{1}{5}]\) + \(\frac{1}{8}× [\frac{1}{3} -\frac{1}{5}] + [\frac{1}{5}-\frac{1}{7}]\) + .... +\(\frac{1}{8}× [\frac{1}{19} -\frac{1}{21}] - [\frac{1}{21}-\frac{1}{23}]\)<br>taking 1/8 common<br>⇒ 1/8 [1 - (1/3) -(1/3) +(1/5) + (1/3) - (1/5) + (1/5) - (1/7) + ...... (1/19) - (1/21) - (1/21) + (1/23)]<br>The sequence will cancel each other and remaining values be<br>⇒ <span>1/8 [1 - 1/3 - 1/21 + 1/23]</span><br>S<sub>1</sub> = <span>[21 × 23 - 7 × 23 - 23 + 21]/(8 × 21 × 23)]</span><br><span>S</span><sup>1</sup><span> = 40/483</span><br><span>Similarly, The sequence of S<sub>2</sub></span>will cancel<span> each other and remaining numbers will be</span><br><span>S<sub>2</sub></span>= <span>1/3 [1 - 1/31}</span><br><span>S</span><sup>2</sup><span> = 10/31</span><br>S = S<sub>1</sub> + S<sub>2</sub> = 40/483 + 10/31 = 6070/14973<br><strong>∴ T<span>he value of S = 6070/14973.</span></strong>		MATH::Progressions CGL::Mains::004
7	Which of the following is TRUE?<br>\({\rm{I}}.{\rm{\;}}\frac{1}{{\sqrt[3]{{12}}}} &gt; \frac{1}{{\sqrt[4]{{29}}}} &gt; \frac{1}{{\sqrt 5 }}\)<br>\({\rm{II}}.\;\frac{1}{{\sqrt[4]{{29}}}} &gt; \frac{1}{{\sqrt[3]{{12}}}} &gt; \frac{1}{{\sqrt 5 }}\)<br>\({\rm{III}}.\;\frac{1}{{\sqrt 5 }} &gt; \frac{1}{{\sqrt[3]{{12}}}} &gt; \frac{1}{{\sqrt[4]{{29}}}}\)<br>\({\rm{IV}}.{\rm{\;}}\frac{1}{{\sqrt 5 }} &gt; \frac{1}{{\sqrt[4]{{29}}}} &gt; \frac{1}{{\sqrt[3]{{12}}}}\)	Only I	Only II	Only III	Only IV	3	<strong>Calculation:</strong><br>1/∛12, 1/<sup>4</sup>√29, and 1/√5<br>The powers are 3, 4 and 1<br>LCM of 3, 4, and 1 is 12<br>Taking the power of 12 on all three numbers, we get<br>⇒ (1/12)<sup>4</sup>, (1/29)<sup>3</sup> and (1/5)<sup>6</sup><br>⇒ (1/144)<sup>2</sup>, 1/(841 × 29), and (1/125)<sup>2</sup><br>Now we can say that,<br>⇒ (1/125)<sup>2</sup> &gt; (1/144)<sup>2</sup> &gt; 1/(841 × 29)<br>⇒ 1/√5 &gt; 1/∛12 &gt; 1/<sup>4</sup>√29<br><strong>∴ Option 3 is correct.</strong>		MATH::Number-System CGL::Mains::004
8	N is the largest two-digit number, which when divided by 3, 4 and 6 leaves the remainder 1, 2 and 4 respectively. What is the remainder when N is divided by 5?	4	2	0	1	1	LCM of 3, 4 and 6 is 12<br>Deductible digit = 3 - 1 = 2, 4 - 2 = 2, 6 - 4 = 2<br>⇒ Deductive digit = 2<br>⇒ Number is in the form of (12x - 2)<br>According to this, when x = 8, we will get the largest two digit number<br>⇒ Required number = N = (12 × 8) - 2<br><span>⇒ N = 96 - 2 = 94</span><br><span>Now, when 94 (N) is divided by 5, the remainder will be 4.</span>		MATH::Number-System CGL::Mains::004
9	Which of the following is TRUE?<br>\({\rm{I}}.{\rm{\;}}\sqrt[3]{{11}} &gt; \sqrt 7 &gt; \sqrt[4]{{45}}\)<br>\({\rm{II}}.{\rm{\;}}\sqrt 7 &gt; \sqrt[3]{{11}} &gt; \sqrt[4]{{45}}\)<br>\({\rm{III}}.{\rm{\;}}\sqrt 7 &gt; \sqrt[4]{{45}} &gt; \sqrt[3]{{11}}\)<br>\({\rm{IV}}.{\rm{\;}}\sqrt[4]{{45}} &gt; \sqrt 7 &gt; \sqrt[3]{{11}}\)	Only I	Only II	Only III	Only IV	3	Taking power of 12 in all the terms;<br>I. 11<sup>4</sup> &gt; 7<sup>6</sup> &gt; 45<sup>3</sup> = 14641 &gt; 117649 &gt; 91125<br>II. 7<sup>6</sup> &gt; 11<sup>4</sup> &gt; 45<sup>3</sup> = 117649 &gt; 14641 &gt; 91125<br>III. 7<sup>6</sup> &gt; 45<sup>3</sup> &gt; 11<sup>4</sup> = 117649 &gt; 91125 &gt; 14641<br>IV. 45<sup>3</sup> &gt; 7<sup>6</sup> &gt; 11<sup>4</sup> = 91125 &gt; 117649 &gt; 14641<br>Here we can see that statement III is true only<br><span><img height="26px"src="//cdn.testbook.com/resources/lms_creative_elements/alternate-methord-image.png"width="26px"><strong><span><u>Alternate Method</u></span></strong></span><br>(11)<sup>1/3</sup>, (7)<sup>1/2</sup> and 45<sup>1/4</sup><br>Take LCM of (3, 2 and 4) = 12<br>⇒ (11)<sup>1/3</sup> = (11<sup>4</sup>)<sup>1/12</sup> = (14641)<sup>1/12</sup><br>⇒ (7)<sup>1/2</sup> = (7<sup>6</sup>)<sup>1/12</sup> = (117649)<sup>1/12</sup><br>⇒ (45)<sup>1/4</sup> = (45<sup>3</sup>)<sup>1/12</sup> = (91125)<sup>1/12</sup><br>So, Correct order = (117649)<sup>1/12</sup> &gt; (91125)<sup>1/12</sup> &gt; (14641)<sup>1/12</sup><br>⇒ 7<sup>1/2</sup> &gt; 45<sup>1/4</sup> &gt; 11<sup>1/3</sup><br><strong>∴ The correct answer is statement III.</strong>		MATH::Number-System CGL::Mains::004
10	A and B are positive integers. If A + B + AB = 65, then what is the difference between A and B (A, B ≤ 15)?	3	4	5	6	3	<b>Given:</b><br>A + B + AB = 65<br>Possible pair of A and B is 10 and 5 (∵ A, B ≤ 15)<br><strong>Calculation:</strong><br>Using our knowledge of maths, we can know that the value of A and B can be 10 and 5<br>10 + 5 + 50 = 65 (Satisfies the condition)<br>Difference of A and B = 10 – 5 = 5<br><strong>∴ The difference between A and B is 5</strong>		MATH::Algebra CGL::Mains::004
