#separator:tab
#html:true
#tags column:10
1	If A = 1 - 10 + 3 - 12 + 5 - 14 + 7 + … up to 60 terms, then what is the value of A?	-360	-310	-240	-270	4	Divide the given series into two parts,<br>⇒ A = (1 + 3 + 5 + 7 + 9 + 11 + ….. up to 30<sup>th</sup> term) - (10 + 12 + 14 + 16 + 18 + …. up to 30<sup>th</sup> term)<br>Sum of the series = [(number of terms(n))/2] × [2 × first term(a) + (n - 1)d]<br>⇒ A = {30/2 × [2 × 1 + (30 - 1) × 2]} - {30/2 × [2 × 10 + (30 - 1) × 2}<br>⇒ A = 900 - 1170<br>∴ A = -270		MATH::Progressions CGL::Mains::008
2	How many natural numbers are there between 1000 and 2000, which when divided by 341 leaves remainder 5?	3	2	4	1	1	We have to find the multiple of 341 in between 1000 and 2000<br>Multiples of 341 are,<br>⇒ 341 × 2 = 682<br>⇒ 341 × 3 = 1023 (1023 + 5)<br>⇒ 341 × 4 = 1364 (1364 + 5)<br>⇒ 341 × 5 = 1705 (1705 + 5)<br>⇒ 341 × 6 = 2046<br>∴ <strong>The multiple of 341 in between 1000 and 2000 are 3.</strong>		MATH::Number-System CGL::Mains::008
3	Which of the following statement(s) is/are TRUE?<br>I. √64 + √(0.0064) + √(0.81) + √(0.0081) = 9.07<br>II. √(0.010201) + √(98.01) + √(0.25) = 11.51	Only I	Only II	Both I and II	Neither I nor II	1	Solving for statement I,<br>√64 + √(0.0064) + √(0.81) + √(0.0081) = 9.07<br>⇒ 8 + 0.08 + 0.9 + 0.09 = 9.07<br>⇒ 9.07 = 9.07<br>⇒ L.H.S. = R.H.S.<br>Solving for statement II,<br>√(0.010201) + √(98.01) + √(0.25) = 11.51<br>⇒ 0.101 + 10(approx.) + 0.5 = 11.51<br>⇒ 10.601(approx.) ≠ 11.51<br>⇒ L.H.S. ≠ R.H.S.<br>∴ <strong>Only Statement I is TRUE.</strong>		MATH::Simplification CGL::Mains::008
4	Which of the following statement(s) is/are TRUE?<br>I. (0.7)<sup>2</sup> + (0.07)<sup>2</sup> + (11.1)<sup>2</sup>&gt; 123.8<br>II. (1.12)<sup>2</sup> + (10.3)<sup>2</sup> + (1.05)<sup>2</sup>&gt; 108.3	Only I	Only II	Both I and II	Neither I nor II	2	Solving for statement I,<br>(0.7)<sup>2</sup> + (0.07)<sup>2</sup> + (11.1)<sup>2</sup>&gt; 123.8<br>⇒ 0.49 + 0.0049 + 123.21 &gt; 123.8<br>⇒ 123.7049 &gt; 123.8 (wrong)<br>⇒ L.H.S. not greater than R.H.S.<br>Solving for statement II,<br>(1.12)<sup>2</sup> + (10.3)<sup>2</sup> + (1.05)<sup>2</sup>&gt; 108.3<br>⇒ 1.2544 + 106.09 + 1.1025 &gt; 108.3<br>⇒ 108.4469 &gt; 108.3<br>⇒ L.H.S. &gt; R.H.S.<br>∴ <strong>Only Statement II is TRUE.</strong>		MATH::Simplification CGL::Mains::008
5	Which of the following statement(s) is/are TRUE?<br>\({\rm{I}}.\frac{1}{{1 \times 3}} + \frac{1}{{3 \times 5}} + \frac{1}{{5 \times 7}} + \ldots + \frac{1}{{11 \times 13}} = \frac{{12}}{{13}}\)<br>\({\rm{II}}.\frac{1}{{1 \times 2}} + \frac{1}{{2 \times 3}} + \frac{1}{{3 \times 4}} + \ldots + \frac{1}{{12 \times 13}} = \frac{{12}}{{13}}\)	Only I	Only II	Both I and II	Neither I nor II	2	Solving for statement I,<br>\(\frac{1}{2}\left( {1 - \frac{1}{3} + \frac{1}{3} - \frac{1}{5} + \frac{1}{5} - \frac{1}{7} + \ldots + \frac{1}{{11}} - \frac{1}{{13}}} \right) = \frac{{12}}{{13}}\)<br>⇒ 1/2 × (1 - 1/13) = 12/13<br>⇒ 6/13 ≠ 12/13<br>⇒ L.H.S. ≠ R.H.S.<br>Solving for statement II,<br>\(\frac{1}{{1 \times 2}} + \frac{1}{{2 \times 3}} + \frac{1}{{3 \times 4}} + \ldots + \frac{1}{{12 \times 13}} = \frac{{12}}{{13}}\)<br>⇒ 1 - 1/2 + 1/2 - 1/3 + 1/3 - 1/4 + … + 1/13<br>⇒ (1 - 1/13) = 12/13<br>⇒ 12/13 = 12/13<br>⇒ L.H.S. = R.H.S.<br>∴ Only Statement II is TRUE.		MATH::Simplification CGL::Mains::008
6	Which of the following statement(s) is/are TRUE?<br>I. 3/71 &lt; 3/91 &lt; 3/99<br>II. 13/135 &gt; 12/135 &gt; 11/135	Only I	Only II	Both I and II	Neither I nor II	2	Solving for statement I,<br>3/71 &lt; 3/91 &lt; 3/99<br>As the numerator is the same, an increase in the value of the denominator results in a small value of the fraction.<br>So, the given statement is false.<br>Solving for statement II,<br>13/135 &gt; 12/135 &gt; 11/135<br>⇒ As the denominator is the same, an increase in the value of the numerator results in the larger value of the fraction.<br><strong>∴ Statements II is TRUE.</strong>		MATH::Number-System CGL::Mains::008
7	If 1 + (1/2) + (1/3) + … + (1/20) = k, then what is the value of (1/4) + (1/6) + (1/8) + … + (1/40)?	k/2	2k	(k - 1)/2	(k + 1)/2	3	1 + (1/2) + (1/3) + … + (1/20) = k<br>⇒ (1/2) + (1/3) + … + (1/20) = k - 1 ----(1)<br>⇒ (1/4) + (1/6) + (1/8) + … + (1/40) = 1/2 × [(1/2) + (1/3) + … + (1/20)]<br>By putting the value from equation (1)<br>∴ (1/4) + (1/6) + (1/8) + … + (1/40) = (k - 1)/2		MATH::Simplification CGL::Mains::008
8	If A = 2<sup>32</sup>, B = 2<sup>31</sup> + 2<sup>30</sup> + 2<sup>29</sup> + … + 2<sup>0</sup> and C = 3<sup>15</sup> + 3<sup>14</sup> + 3<sup>13</sup> + … + 3<sup>0</sup>, then which of the following option is TRUE?	C &gt; B &gt; A	C &gt; A &gt; B	A &gt; B &gt; C	A &gt; C &gt; B	3	A = 2<sup>32</sup>= 4<sup>16</sup><br>B = 2<sup>31</sup> + 2<sup>30</sup> + 2<sup>29</sup> + … + 2<sup>0</sup>[(series are in GP)]<br>\(\Rightarrow B = a \times \frac{{1 - {r^n}}}{{1 - r}}\)<br>\(\Rightarrow B = {2^{31}} \times \frac{{1 - {{\left( {1/2} \right)}^{32}}}}{{1 - \left( {1/2} \right)}}\)<br>\(\Rightarrow B = {2^{31}} \times \frac{{{2^{32}} - 1}}{{{2^{32}} \times {2^{ - 1}}}}\)<br>\(\Rightarrow B = {2^{31}} \times \frac{{{2^{32}} - 1}}{{{2^{31}}}}\)<br>⇒ B = 2<sup>32</sup> - 1 = 4<sup>16</sup>- 1<br>⇒ A &gt; B<br>C = 3<sup>15</sup> + 3<sup>14</sup> + 3<sup>13</sup> + … + 3<sup>0</sup>[(series are in GP)]<br>\(\Rightarrow C = a \times \frac{{1 - {r^n}}}{{1 - r}}\)<br>\(\Rightarrow C = {3^{15}} \times \frac{{1 - {{\left( {1/3} \right)}^{16}}}}{{1 - \left( {1/3} \right)}}\)<br>\(\Rightarrow C = {3^{15}} \times \frac{{{3^{16}} - 1}}{{{3^{16}} \times \frac{2}{3}}}\)<br>\(\Rightarrow C = {3^{15}} \times \frac{{{3^{16}} - 1}}{{{3^{15}} \times 2}}\)<br>⇒ C = (3<sup>16</sup> - 1)/2<br>∴ We can say that, <strong>A &gt; B &gt; C</strong>		MATH::Progressions CGL::Mains::008
9	If x + y = 10 and xy = 4, then what is the value of x<sup>4</sup> + y<sup>4</sup>?	8464	8432	7478	6218	2	Using algebraic identities,<br>x<sup>2</sup>+ y<sup>2</sup> + 2xy = (x + y)<sup>2</sup><br>⇒ x<sup>2</sup>+ y<sup>2</sup> = (x + y)<sup>2</sup> - 2xy<br>⇒ x<sup>2</sup>+ y<sup>2</sup> = (10)<sup>2</sup> - 2 × 4 [∵ x + y = 10 and xy = 4}<br>⇒ x<sup>2</sup>+ y<sup>2</sup> = 92<br>Squaring on both side,<br>⇒ (x<sup>2</sup>+ y<sup>2</sup>)<sup>2</sup> = 92<sup>2</sup><br>⇒ x<sup>4</sup> + y<sup>4</sup> + 2x<sup>2</sup>y<sup>2</sup> = 8464<br>⇒ x<sup>4</sup> + y<sup>4</sup> = 8464 - 2(xy)<sup>2</sup><br>⇒ x<sup>4</sup> + y<sup>4</sup> = 8464 - 2(4)<sup>2</sup> [∵ xy = 4]<br>∴ x<sup>4</sup> + y<sup>4</sup> = 8432		MATH::Algebra CGL::Mains::008
10	M is the largest three digit number which when divided by 6 and 5 leaves remainder 5 and 3 respectively. What will be the remainder when M is divided by 11?	1	2	3	4	4	Lcm of (6, 5) = 30<br>Let’s assume the number be "30K + constant", where Constant is the remainder.<br>let that number be ‘M’<br>⇒ M/6 = 5 (remainder)<br>M could be 5, 11, 17, 23, 29, ...<br>⇒ M/5 = 3 (remainder)<br>M could be 3, 8, 13, 18, 23, 28, ...<br>The very first number common in both term is 23.<br>⇒ M is 23 i.e. a constant term<br>⇒ 30K + constant = 30K + 23<br>The largest three digit number comes when K is 32<br>⇒ 30 (32) + 23 = 983<br>∴ When 983 is divided by 11, leaves the remainder 4.		MATH::Number-System CGL::Mains::008
11	Which of the following statement(s) is/are TRUE?<br>I. √5 + √5 &gt; √7 + √3<br>II. √6 + √7 &gt; √8 + √5<br>III. √3 + √9 &gt; √6 + √6	Only I	Only I and II	Only II and III	Only I and III	2	<u><strong>Method 1</strong></u><br>I. √5 + √5 &gt; √7 + √3<br>Squaring we get<br>5 + 5 + 2 × √5 × √5 &gt; 7 + 3 + 2 × √7 × √3<br>⇒ 10 + 2√25 &gt; 10 + 2√21 (correct)<br>II. √6 + √7 &gt; √8 + √5<br>Squaring we get<br>6 + 7 + 2 × √6 × √7 &gt; 8 + 5 + 2 × √8 × √5<br>⇒ 13 + 2√42 &gt; 13 + 2√40 (correct)<br>III. √3 + √9 &gt; √6 + √6<br>Squaring we get<br>3 + 9 + 2 × √3 × √9 &gt; 6 + 6 + 2 × √6 × √6<br>⇒ 12 + 2√27 &gt; 12 + 2√36 (Incorrect)<br><u><strong>Method 2</strong></u><br>Solving statement I,<br>√5 + √5 &gt; √7 + √3<br>⇒ 2.25 + 2.25 &gt; 2.64 + 1.732<br>⇒ 4.5 &gt; 4.372<br>Solving statement II,<br>√6 + √7 &gt; √8 + √5<br>⇒ 2.44 + 2.64 &gt; 2.82 + 2.25<br>⇒ 5.08 &gt; 5.07<br>Solving statement III,<br>√3 + √9 &gt; √6 + √6<br>⇒ 1.732 + 3 &gt; 2.44 + 2.44<br>⇒ 4.732 &gt; 4.88 (wrong)<br>∴ Only statement (1) and statement (2) are TRUE.		MATH::Simplification CGL::Mains::008
