#separator:tab
#html:true
#tags column:10
1	The cost price of an article is Rs. 2800. Profit as a percentage of selling price is 20 percent. What is the actual profit (in Rs.) ?	Rs. 616	Rs. 504	Rs. 700	Rs. 560	3	<strong>GIVEN:</strong><br>Cost price is Rs2800<br>Profit as a % of selling price is 20%<br><strong>FORMULA USED:</strong><br>Profit = (S.P. - C.P.)<br>Profit% as of Selling Price = ( Profit/ S.P.) × 100<br>Where, S.P. = Selling price, C.P. = Cost price<br><strong>CALCULATION:</strong><br>Here, Cost price = Rs2800, P% as Selling Price = 20<br>As, according to the question,<br>Profit as a percentage of Selling price = (Profit/ S.P.) × 100<br>⇒ 20 = ( Profit /S.P.) × 100<br>⇒ 20 = ( S.P. - 2800)/S.P. × 100 [ As Profit = S.P. - C.P.]<br>⇒ 20 S.P. = 100 S.P. - 280000<br>⇒ 280000 = 80 S.P.<br>⇒ S.P. = Rs3500<br>Now,<br>Actual Profit = ( S.P. - C.P.) = Rs(3500 - 2800 ) = Rs700<br><strong>Hence, the actual profit is Rs 700.</strong>		MATH::Profit-And-Loss CGL::Mains::018
2	The sum of the curved surface area and total surface area of a solid cylinder is 2068 cm<sup>2</sup>. If radius of its base is 7 cm, then what is the volume of this cylinder ? (use π = 22/7)	<span>2060 cm</span><sup>3</sup>	<span>2480 cm</span><sup>3</sup>	<span>3080 cm</span><sup>3</sup>	<span>2760 cm</span><sup>3</sup>	3	<strong>Given:</strong><br><span>The sum of the curved surface area and total surface area of a solid cylinder is 2068 cm</span><sup>2</sup><span>.</span><br><span>Radius of its base is 7 cm</span><br><strong><span>Formula used:</span></strong><br>Volume of cylinder = πr<sup>2</sup>h<br>Curved surface area of cylinder = 2πrh<br>Total surface area of cylinder = 2πr (h+r)<br><strong>Calculations:</strong><br>According to the question,<br>2068 = <span>2πrh + 2πr(r + h)</span><br><span>⇒ 2068 = 2πr(h + r + h)</span><br><span>⇒ 1034 = (22/7) × 7 × (7 + 2h)</span><br><span>⇒ 1034/22 = 7 + 2h</span><br><span>⇒ 47 = 7 + 2h</span><br><span>⇒ 2h = 47 - 7</span><br><span>⇒ h = 40/2 = 20 cm</span><br><span>Now the volume,</span><br><span>⇒ V = (22/7) × (7)</span><sup>2</sup>× <span>(20)</span><br><span>⇒ V = 22 × 7</span><span> </span><span>×</span><span> </span><sup>20</sup> = 3080 <span>cm</span><sup>3</sup><br><strong>∴ T<span>he volume of this cylinder is 3080 </span><span>cm</span><sup>3</sup><span>.</span></strong>		MATH::Mensuration CGL::Mains::018
3	If sin θ = (9/41), 0° &lt; θ &lt; 90° then what is the value of cot θ ?	39/9	47/8	35/8	40/9	4	<strong>Given:</strong><br>sin θ = 9/41<br><span>0° &lt; θ &lt; 90°</span><br><strong>Formula used:</strong><br>cosec<sup>2</sup><span>θ </span>- cot<sup>2</sup>θ = 1<br><strong>Calculation:</strong><br>sin <span>θ</span> = 9/41<br><span>⇒ </span>cosec <span>θ</span> = 41/9<br><span>⇒ </span>cot<sup>2</sup><span>θ</span> = cosec<sup>2</sup><span>θ </span>- 1 = (41/9)<sup>2</sup>- 1<br>⇒ <span>cot</span><sup>2</sup><span> θ = </span>1681/81 - 1<br><span>⇒ cot</span><sup>2</sup><span> θ = </span>(1681 - 81)/81 = 1600/81<br><span>⇒ </span>cot<sup>2</sup> θ = (40/9)<sup>2</sup><br><strong>∴ cot θ = 40/9.</strong>		MATH::Trigonometry CGL::Mains::018
4	Two circles each of radius 36 cm are intersecting each other such that each circle is passing through the centre of the other circle. What is the length of common chord to the two circles ?	<sup>24</sup>\(\sqrt{3}\)<span> cm</span>	<sup>12</sup>\(\sqrt{3}\)<span> cm</span>	36\(\sqrt{3}\)<span> cm</span>	<sup>16</sup>\(\sqrt{3}\)<span> cm</span>	3	<strong>Given:</strong><br>Radius of two circle = 36cm<br><img alt=""src="//storage.googleapis.com/tb-img/production/22/12/F1_Madhuri_SSC_22.12.2022_D1.png"><br><br><strong>Formula used:</strong><br>A<sup>2</sup> + B<sup>2</sup> = C<sup>2</sup><br><strong>Solution:</strong><br>OO' = OC = 36cm<br>∴ Triangle OO'C is an equilateral triangle.<br>OA = AO' = 36/2 = 18cm<br>Using Pythagoras' theorem,<br>CA<sup>2</sup> = OC<sup>2</sup> - OA<sup>2</sup> = 36<sup>2</sup> - 18<sup>2</sup> = 1296 - 324 = 972<br>CA = 18\(\sqrt3\)<br><strong>Length of the Chord = 2 x CA = 36</strong>\(\sqrt3\)cm.		MATH::Geometry CGL::Mains::018
5	ABC is an isosceles right angle triangle. Angle ABC = 90 degree and AB = 12 cm. What is the ratio of the radius of the circle inscribed in it to the radius of the circle circumscribing triangle ABC ?	<span>6 − </span>\(\sqrt{2}\)<span> ∶ 3</span>\(\sqrt{2}\)	<span>2 − </span>\(\sqrt{2}\)<span> ∶ </span>\(\sqrt{2}\)	<span>6 − 3</span>\(\sqrt{2}\)<span> ∶ 1</span>\(\sqrt{2}\)	<span>6 − 3</span>\(\sqrt{2}\)<span> ∶ 6</span>\(\sqrt{2}\)	2	<b>GIVEN:</b><br>ABC is an isosceles triangle<br>Angle ABC is 90 degree<br>AB is 12 cm<br><strong>FORMULA USED:</strong><br>In-radius of inscribed circle of right angled triangle = ( P + B - H)/2<br>Circum-radius of circumscribed circle of right angle triangle = H/2<br>Where, P = Perpendicular , B = Base , H = Hypotenuses<br><strong>CALCULATION:</strong><br><span class="WACImageContainer NoPadding DragDrop BlobObject SCXW389009 BCX0"role="presentation"><img class="WACImage SCXW389009 BCX0"src="//storage.googleapis.com/tb-img/production/22/12/F1_Madhuri_SSC_22.12.2022_D2.png"unselectable="on"></span><br>Here, we have an isosceles triangle ABC<br>As, we know that in an isosceles triangle,<br>Two sides are equal i.e AB = BC = 12 cm and as angle B = 90 degree.<br>So, it is a right-angled isosceles triangle ABC [ where, Perpendicular = AB = 12, Base = BC = 12 and AC= Hypotenuse]<br><strong>H<sup>2</sup> = P<sup>2</sup> + B<sup>2</sup></strong><br>⇒ H<sup>2</sup> = 12<sup>2</sup> + 12<sup>2</sup> = ( 144 + 144) = 288<br>⇒ H = \(\sqrt{288}\) = 12\(\sqrt2\)<br>In- radius of inscribed circle of triangle = ( P + B - H) /2 = ( 12 + 12 - 12 \(\sqrt2\) ) /2 = 12 ( 2 - \(\sqrt2\) )/2 = 6 ( 2 - \(\sqrt2\) )<br>Circum-radius of circumscribed circle of triangle = H/2 = 12 \(\sqrt2\) /2 = 6\(\sqrt2\)<br>Now,<br>In radius : Circum radius = 6 ( 2 - \(\sqrt2\) ) : 6 \(\sqrt2\) = ( 2 - \(\sqrt2\) ) : \(\sqrt2\)<br><strong>Hence, required ratio is (2 - \(\sqrt2\)</strong> <strong>) : \(\sqrt2\) .</strong>		MATH::Geometry CGL::Mains::018
6	A, B and C started a business with initial investments of Rs. 20000, Rs. 25000 and Rs. 10000, respectively. After 5 months from start, A invested Rs. 4000 more. After 6 months from start, C invested Rs. 8000 more. After 4 months from start, B withdrew Rs. 8000. At the end of the year, they will receive a profit of Rs. 'x'. In what ratio they will share the profits ?	71 ∶ 57 ∶ 42	71 ∶ 59 ∶ 42	59 ∶ 68 ∶ 42	67 ∶ 59 ∶ 42	4	<span>Solution:</span><table border="1"><tr><td><td>A<td>B<td>C<tr><td>Capital invested<td>(20000 x 5) + (24000x7)<td>(25000x4) + (17000 x 8)<td>(10000x6) + (18000x6)<tr><td><td>268000<td>236000<td>168000</table><strong>Profit Ratio = A : B : C = 268 : 236 : 168 = 67 : 59 : 42</strong>		MATH::Partnership CGL::Mains::018
7	Which fraction among the following is the least ?<br>\(\frac{5}{11}, \frac{7}{12}, \frac{8}{13}, \frac{9}{17}\)	\(\frac{5}{11}\)	\(\frac{7}{12}\)	\(\frac{9}{17}\)	\(\frac{8}{13}\)	1	<strong>Fact used:</strong><br>The fraction, whose numerator is the least, <span>is the least, </span>provided the same denominators.<br><strong>Solution:</strong><br>Let's make the denominators the same,<br>LCM(11, 12, 13, 17) = 29172 = D<br>5/11= (5 x 12 x 13 x 17) / D = 13260/D<br>7/12 = (7x11x13x17)/D = 17017/D<br>8/13 = (8x11x12x17)/D = 17952/D<br>9/17 = (9x11x12x13)/D = 15444/D<br><strong>From the above, we can say that 5/11 is the least fraction.</strong>		MATH::Number-System CGL::Mains::018
8	What is the value of \(99\frac{11}{99}+99\frac{13}{99}+99\frac{15}{99}+\ldots+99\frac{67}{99}\) ?	94220/33	95120/33	97120/33	96220/33	2	<strong>Formula used:</strong><br>S<sub>n</sub> = [n x (a + a<sub>n</sub>) ] /2<br>a<sub>n</sub> = a + (n-1)d<br>d = difference<br>a = initial term<br>a<sub>n</sub> = last term<br>n = number of terms<br>S<sub>n</sub> = Sum of n terms<br><strong>Solution:</strong><br>The series can be written as:<br>\(1\over99\)[99x99+11 + 99x99+13 + ... + 99x99+67]<br>= \(1\over99\) [9812 + 9814 + 9816+ ... + 9868]<br>Now, our series is, 9812, 9814,...,9868.<br>a = 9812<br>a<sub>n</sub> = 9868<br>d = <sup>9814</sup>- <sup>9812</sup>= 2<br><sup>9868</sup>= <sup>9812</sup>+ (n-1) x 2<br>n - 1 = 56/2 = 28<br>n = 29<br>S<sub>n</sub> = 29 x (<sup>9812</sup>+ <sup>9868</sup>) / 2 = (29 x 19680)/2 = 570720/2 = 285360<br><strong>Hence, the sum of the series = 285360/99 = 95120/33</strong>		MATH::Progressions CGL::Mains::018
9	What is the value of 5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° ?	10	57/4	25	45/4	4	<strong>Given:</strong><br><span>5 sin</span><sup>2</sup><span> 60° + 7 sin</span><sup>2</sup><span> 45° + 8 cos</span><sup>2</sup><span> 45°</span><br><strong><span>Values used:</span></strong><br><span>sin 60° = \(\sqrt3\)/2</span><br><span>sin 45° = 1/\(\sqrt2\)</span><br><span>cos 45° =</span>1/\(\sqrt2\)<br><strong><span>Solution:</span></strong><br><span>Now, let's put the values in the given question,</span><br>5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° = 5(\(\sqrt3/2\))<sup>2</sup> + 7(1/\(\sqrt2\))<sup>2</sup><span> </span>+ 8(1/\(\sqrt2\))<sup>2</sup><span></span><br>5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° = 5(3/4) + 7(1/2)+ 8(1/2)<br>5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° = 15/4 + 7/2 + 8/2<br>5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° = (15+14+16)/4<br><strong>5 sin<sup>2</sup> 60° + 7 sin<sup>2</sup> 45° + 8 cos<sup>2</sup> 45° = 45/4</strong>		MATH::Trigonometry CGL::Mains::018
10	A bus covered a distance of 162 km. If speed of this bus is 15 m/s, then what will be the time taken ?	4 hours	2 hours	3 hours	5 hours	3	<strong>Given:</strong><br>Distance = 162km<br>Speed = 15m/s = 54km/h<br><strong>Formula used:</strong><br>Speed = Distance/Time<br>1 hour = 60 minutes<br>1 minute = 60 seconds<br>1km = 1000m<br><strong>Solution:</strong><br><strong>Time = Distance/Speed = 162/54 = 3hours.</strong>		MATH::Time-Speed-Distance CGL::Mains::018
